PLAYER_URL,PLAYER,TEAM_URL,TEAM,AFFILIATION,YEAR,ROUND_NUMBER,ROUND_PICK,OVERALL_PICK
https://www.nba.com/player/203952/,Andrew Wiggins,https://www.nba.com/team/1610612739/traditional/,Cleveland Cavaliers,Kansas,2014,1,1,1
https://www.nba.com/player/203953/,Jabari Parker,https://www.nba.com/team/1610612749/traditional/,Milwaukee Bucks,Duke,2014,1,2,2
https://www.nba.com/player/203954/,Joel Embiid,https://www.nba.com/team/1610612755/traditional/,Philadelphia 76ers,Kansas,2014,1,3,3
https://www.nba.com/player/203932/,Aaron Gordon,https://www.nba.com/team/1610612753/traditional/,Orlando Magic,Arizona,2014,1,4,4
https://www.nba.com/player/203957/,Dante Exum,https://www.nba.com/team/1610612762/traditional/,Utah Jazz,Australian Institute of Sport (Australia),2014,1,5,5
https://www.nba.com/player/203935/,Marcus Smart,https://www.nba.com/team/1610612738/traditional/,Boston Celtics,Oklahoma State,2014,1,6,6
https://www.nba.com/player/203944/,Julius Randle,https://www.nba.com/team/1610612747/traditional/,Los Angeles Lakers,Kentucky,2014,1,7,7
https://www.nba.com/player/203917/,Nik Stauskas,https://www.nba.com/team/1610612758/traditional/,Sacramento Kings,Michigan,2014,1,8,8
https://www.nba.com/player/203943/,Noah Vonleh,https://www.nba.com/team/1610612766/traditional/,Charlotte Hornets,Indiana,2014,1,9,9
https://www.nba.com/player/203901/,Elfrid Payton,https://www.nba.com/team/1610612755/traditional/,Philadelphia 76ers,Louisiana-Lafayette,2014,1,10,10
https://www.nba.com/player/203926/,Doug McDermott,https://www.nba.com/team/1610612743/traditional/,Denver Nuggets,Creighton,2014,1,11,11
https://www.nba.com/player/203967/,Dario Saric,https://www.nba.com/team/1610612753/traditional/,Orlando Magic,KK Cibona (Croatia),2014,1,12,12
https://www.nba.com/player/203897/,Zach LaVine,https://www.nba.com/team/1610612750/traditional/,Minnesota Timberwolves,California-Los Angeles,2014,1,13,13
https://www.nba.com/player/203933/,T.J. Warren,https://www.nba.com/team/1610612756/traditional/,Phoenix Suns,North Carolina State,2014,1,14,14
https://www.nba.com/player/203940/,Adreian Payne,https://www.nba.com/team/1610612737/traditional/,Atlanta Hawks,Michigan State,2014,1,15,15
https://www.nba.com/player/203994/,Jusuf Nurkic,https://www.nba.com/team/1610612741/traditional/,Chicago Bulls,KK Cedevita (Croatia),2014,1,16,16
https://www.nba.com/player/203923/,James Young,https://www.nba.com/team/1610612738/traditional/,Boston Celtics,Kentucky,2014,1,17,17
https://www.nba.com/player/203898/,Tyler Ennis,https://www.nba.com/team/1610612756/traditional/,Phoenix Suns,Syracuse,2014,1,18,18
https://www.nba.com/player/203914/,Gary Harris,https://www.nba.com/team/1610612741/traditional/,Chicago Bulls,Michigan State,2014,1,19,19
https://www.nba.com/player/203998/,Bruno Caboclo,https://www.nba.com/team/1610612761/traditional/,Toronto Raptors,Esporte Clube Pinheiros (Brazil),2014,1,20,20
https://www.nba.com/player/203956/,Mitch McGary,https://www.nba.com/team/1610612760/traditional/,Oklahoma City Thunder,Michigan,2014,1,21,21
https://www.nba.com/player/203919/,Jordan Adams,https://www.nba.com/team/1610612763/traditional/,Memphis Grizzlies,California-Los Angeles,2014,1,22,22
https://www.nba.com/player/203918/,Rodney Hood,https://www.nba.com/team/1610612762/traditional/,Utah Jazz,Duke,2014,1,23,23
https://www.nba.com/player/203894/,Shabazz Napier,https://www.nba.com/team/1610612766/traditional/,Charlotte Hornets,Connecticut,2014,1,24,24
https://www.nba.com/player/203991/,Clint Capela,https://www.nba.com/team/1610612745/traditional/,Houston Rockets,Elan Chalon (France),2014,1,25,25
https://www.nba.com/player/203798/,PJ Hairston,https://www.nba.com/team/1610612748/traditional/,Miami Heat,Texas Legends (D-League),2014,1,26,26
https://www.nba.com/player/203992/,Bogdan Bogdanovic,https://www.nba.com/team/1610612756/traditional/,Phoenix Suns,KK Partizan (Serbia),2014,1,27,27
https://www.nba.com/player/203912/,C.J. Wilcox,https://www.nba.com/team/1610612746/traditional/,Los Angeles Clippers,Washington,2014,1,28,28
https://www.nba.com/player/203962/,Josh Huestis,https://www.nba.com/team/1610612760/traditional/,Oklahoma City Thunder,Stanford,2014,1,29,29
https://www.nba.com/player/203937/,Kyle Anderson,https://www.nba.com/team/1610612759/traditional/,San Antonio Spurs,California-Los Angeles,2014,1,30,30
https://www.nba.com/player/203996/,Damien Inglis,https://www.nba.com/team/1610612749/traditional/,Milwaukee Bucks,Chorale Roanne Basket (France),2014,2,1,31
https://www.nba.com/player/203909/,KJ McDaniels,https://www.nba.com/team/1610612755/traditional/,Philadelphia 76ers,Clemson,2014,2,2,32
https://www.nba.com/player/203925/,Joe Harris,https://www.nba.com/team/1610612739/traditional/,Cleveland Cavaliers,Virginia,2014,2,3,33
https://www.nba.com/player/203921/,Cleanthony Early,https://www.nba.com/team/1610612752/traditional/,New York Knicks,Wichita State,2014,2,4,34
https://www.nba.com/player/203950/,Jarnell Stokes,https://www.nba.com/team/1610612762/traditional/,Utah Jazz,Tennessee,2014,2,5,35
https://www.nba.com/player/203948/,Johnny O'Bryant III,https://www.nba.com/team/1610612749/traditional/,Milwaukee Bucks,Louisiana State,2014,2,6,36
https://www.nba.com/player/203908/,DeAndre Daniels,https://www.nba.com/team/1610612761/traditional/,Toronto Raptors,Connecticut,2014,2,7,37
https://www.nba.com/player/203915/,Spencer Dinwiddie,https://www.nba.com/team/1610612765/traditional/,Detroit Pistons,Colorado,2014,2,8,38
https://www.nba.com/player/203924/,Jerami Grant,https://www.nba.com/team/1610612755/traditional/,Philadelphia 76ers,Syracuse,2014,2,9,39
https://www.nba.com/player/203922/,Glenn Robinson III,https://www.nba.com/team/1610612750/traditional/,Minnesota Timberwolves,Michigan,2014,2,10,40
https://www.nba.com/player/203999/,Nikola Jokic,https://www.nba.com/team/1610612743/traditional/,Denver Nuggets,KK Mega Leks (Serbia),2014,2,11,41
https://www.nba.com/player/203910/,Nick Johnson,https://www.nba.com/team/1610612745/traditional/,Houston Rockets,Arizona,2014,2,12,42
