PLAYER_URL,PLAYER,TEAM_URL,TEAM,AFFILIATION,YEAR,ROUND_NUMBER,ROUND_PICK,OVERALL_PICK
https://www.nba.com/player/202322/,John Wall,https://www.nba.com/team/1610612764/traditional/,Washington Wizards,Kentucky,2010,1,1,1
https://www.nba.com/player/202323/,Evan Turner,https://www.nba.com/team/1610612755/traditional/,Philadelphia 76ers,Ohio State,2010,1,2,2
https://www.nba.com/player/202324/,Derrick Favors,https://www.nba.com/team/1610612751/traditional/,New Jersey Nets,Georgia Tech,2010,1,3,3
https://www.nba.com/player/202325/,Wesley Johnson,https://www.nba.com/team/1610612750/traditional/,Minnesota Timberwolves,Syracuse,2010,1,4,4
https://www.nba.com/player/202326/,DeMarcus Cousins,https://www.nba.com/team/1610612758/traditional/,Sacramento Kings,Kentucky,2010,1,5,5
https://www.nba.com/player/202327/,Ekpe Udoh,https://www.nba.com/team/1610612744/traditional/,Golden State Warriors,Baylor,2010,1,6,6
https://www.nba.com/player/202328/,Greg Monroe,https://www.nba.com/team/1610612765/traditional/,Detroit Pistons,Georgetown,2010,1,7,7
https://www.nba.com/player/202329/,Al-Farouq Aminu,https://www.nba.com/team/1610612746/traditional/,Los Angeles Clippers,Wake Forest,2010,1,8,8
https://www.nba.com/player/202330/,Gordon Hayward,https://www.nba.com/team/1610612762/traditional/,Utah Jazz,Butler,2010,1,9,9
https://www.nba.com/player/202331/,Paul George,https://www.nba.com/team/1610612754/traditional/,Indiana Pacers,Fresno State,2010,1,10,10
https://www.nba.com/player/202332/,Cole Aldrich,https://www.nba.com/team/1610612740/traditional/,New Orleans Hornets,Kansas,2010,1,11,11
https://www.nba.com/player/202333/,Xavier Henry,https://www.nba.com/team/1610612763/traditional/,Memphis Grizzlies,Kansas,2010,1,12,12
https://www.nba.com/player/202334/,Ed Davis,https://www.nba.com/team/1610612761/traditional/,Toronto Raptors,North Carolina,2010,1,13,13
https://www.nba.com/player/202335/,Patrick Patterson,https://www.nba.com/team/1610612745/traditional/,Houston Rockets,Kentucky,2010,1,14,14
https://www.nba.com/player/202336/,Larry Sanders,https://www.nba.com/team/1610612749/traditional/,Milwaukee Bucks,Virginia Commonwealth,2010,1,15,15
