PLAYER_URL,PLAYER,TEAM_URL,TEAM,AFFILIATION,YEAR,ROUND_NUMBER,ROUND_PICK,OVERALL_PICK
https://www.nba.com/player/1626157/,Karl-Anthony Towns,https://www.nba.com/team/1610612750/traditional/,Minnesota Timberwolves,Kentucky,2015,1,1,1
https://www.nba.com/player/1626156/,D'Angelo Russell,https://www.nba.com/team/1610612747/traditional/,Los Angeles Lakers,Ohio State,2015,1,2,2
https://www.nba.com/player/1626143/,Jahlil Okafor,https://www.nba.com/team/1610612755/traditional/,Philadelphia 76ers,Duke,2015,1,3,3
https://www.nba.com/player/204001/,Kristaps Porzingis,https://www.nba.com/team/1610612752/traditional/,New York Knicks,CB Sevilla (Spain),2015,1,4,4
https://www.nba.com/player/1626209/,Mario Hezonja,https://www.nba.com/team/1610612753/traditional/,Orlando Magic,FC Barcelona Basquet (Spain),2015,1,5,5
https://www.nba.com/player/1626161/,Willie Cauley-Stein,https://www.nba.com/team/1610612758/traditional/,Sacramento Kings,Kentucky,2015,1,6,6
https://www.nba.com/player/1626144/,Emmanuel Mudiay,https://www.nba.com/team/1610612743/traditional/,Denver Nuggets,Guangdong Southern Tigers (China),2015,1,7,7
https://www.nba.com/player/1626169/,Stanley Johnson,https://www.nba.com/team/1610612765/traditional/,Detroit Pistons,Arizona,2015,1,8,8
https://www.nba.com/player/1626163/,Frank Kaminsky,https://www.nba.com/team/1610612766/traditional/,Charlotte Hornets,Wisconsin,2015,1,9,9
https://www.nba.com/player/1626159/,Justise Winslow,https://www.nba.com/team/1610612748/traditional/,Miami Heat,Duke,2015,1,10,10
https://www.nba.com/player/1626167/,Myles Turner,https://www.nba.com/team/1610612754/traditional/,Indiana Pacers,Texas,2015,1,11,11
https://www.nba.com/player/1626168/,Trey Lyles,https://www.nba.com/team/1610612762/traditional/,Utah Jazz,Kentucky,2015,1,12,12
https://www.nba.com/player/1626164/,Devin Booker,https://www.nba.com/team/1610612756/traditional/,Phoenix Suns,Kentucky,2015,1,13,13
https://www.nba.com/player/1626166/,Cameron Payne,https://www.nba.com/team/1610612760/traditional/,Oklahoma City Thunder,Murray State,2015,1,14,14
https://www.nba.com/player/1626162/,Kelly Oubre Jr.,https://www.nba.com/team/1610612737/traditional/,Atlanta Hawks,Kansas,2015,1,15,15
https://www.nba.com/player/1626179/,Terry Rozier,https://www.nba.com/team/1610612738/traditional/,Boston Celtics,Louisville,2015,1,16,16
https://www.nba.com/player/1626173/,Rashad Vaughn,https://www.nba.com/team/1610612749/traditional/,Milwaukee Bucks,Nevada-Las Vegas,2015,1,17,17
https://www.nba.com/player/1626155/,Sam Dekker,https://www.nba.com/team/1610612745/traditional/,Houston Rockets,Wisconsin,2015,1,18,18
https://www.nba.com/player/1626170/,Jerian Grant,https://www.nba.com/team/1610612764/traditional/,Washington Wizards,Notre Dame,2015,1,19,19
