RSCI,Name_URL,URL,Player,URL2,college_nan,URL3,College,from,to,WS,m1,m2,m3,m4,m5,m6
25,Malik Williams (college),https://www.sports-reference.com/cbb/players/malik-williams-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=louisville,Louisville,,,,34,29,22,30,31,
26,Nick Weatherspoon (college),https://www.sports-reference.com/cbb/players/nick-weatherspoon-2.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=missst,Mississippi State,,,,28,36,27,35,24,
27,Jalek Felton (college),https://www.sports-reference.com/cbb/players/jalek-felton-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=unc,UNC,,,,30,28,28,29,38,
28,John Petty (college),https://www.sports-reference.com/cbb/players/john-petty-2.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=alabama,Alabama,,,,25,22,46,28,34,
29,Paul Scruggs (college),https://www.sports-reference.com/cbb/players/paul-scruggs-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=xavier,Xavier,,,,29,32,30,39,32,
30,Shai Gilgeous-Alexander (college),https://www.basketball-reference.com/players/g/gilgesh01.html,Shai Gilgeous-Alexander,https://www.sports-reference.com/cbb/players/shai-gilgeous-alexander-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=kentucky,Kentucky,2019,2020,9.5,37,35,41,34,20,
31,Lindell Wigginton (college),https://www.basketball-reference.com/players/w/wiggili01.html,Lindell Wigginton,https://www.sports-reference.com/cbb/players/lindell-wigginton-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=iowast,Iowa State,,,,39,39,34,24,46,
T31,Ethan Thompson (college),https://www.sports-reference.com/cbb/players/ethan-thompson-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=oregonst,Oregon State,,,,31,41,49,36,25,
33,Nickeil Alexander-Walker (college),https://www.basketball-reference.com/players/a/alexani01.html,Nickeil Alexander-Walker,https://www.sports-reference.com/cbb/players/nickeil-alexander-walker-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=vatech,Virginia Tech,2020,2020,-0.2,38,21,60,32,37,
34,Chaundee Brown (college),https://www.sports-reference.com/cbb/players/chaundee-brown-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=wake,Wake Forest,,,,43,33,39,38,39,
