Field13,Field,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,sortcell,Field12,EWA,Field14,Player
Select Year,Hollinger Stats - Estimated Wins Added - All Players,,,,,,,,,,,,,,,,
Select Year,RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
2017-18 Regular Season,,"Luis Montero, DET",2,4,0,0,66.7,15.2,0,28.2,13.8,-15.5,0,0,0,http://insider.espn.go.com/nba/players/hollinger?playerId=3911666,Luis Montero
2017-18 Regular Season,,"Nicolas Brussino, ATL",4,2.5,0,0,0,7.9,0,33.5,16.7,-4.61,0,0,0,http://insider.espn.go.com/nba/players/hollinger?playerId=3929314,Nicolas Brussino
2017-18 Regular Season,,"Tim Quarterman, HOU",3,4.3,0.515,14.5,29.1,19.1,0,25.8,13,2.9,0,0,0,http://insider.espn.go.com/nba/players/hollinger?playerId=4064730,Tim Quarterman
2017-18 Regular Season,380,"Gordon Hayward, BOS",1,5,0.5,0,0,16.2,0,21.6,10.9,7.43,0,-0.2,0,http://insider.espn.go.com/nba/players/hollinger?playerId=4249,Gordon Hayward
2017-18 Regular Season,RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
2017-18 Regular Season,,"Cory Joseph, IND",82,27,0.503,26.2,8.8,15,2,11.4,6.7,10.99,0,-0.2,0,http://insider.espn.go.com/nba/players/hollinger?playerId=6446,Cory Joseph
2017-18 Regular Season,,"Alfonzo McKinnie, TOR",14,3.8,0.643,4.9,14.8,14.8,2.2,12.4,7.4,10.11,0,-0.3,0,http://insider.espn.go.com/nba/players/hollinger?playerId=2530923,Alfonzo McKinnie
2017-18 Regular Season,,"Tyler Lydon, DEN",1,2,0,0,0,0,0,0,0,0,0,-0.3,0,http://insider.espn.go.com/nba/players/hollinger?playerId=3934662,Tyler Lydon
2017-18 Regular Season,,"Matt Costello, SA",4,8,0.5,28.6,14.3,7.3,3.4,27.9,15.6,9.74,0,-0.4,0,http://insider.espn.go.com/nba/players/hollinger?playerId=2999546,Matt Costello
2017-18 Regular Season,,"Tony Bradley, UTAH",9,3.2,0.337,7.8,0,17.2,15.8,27.1,21.5,9.51,0,-0.5,0,http://insider.espn.go.com/nba/players/hollinger?playerId=4065673,Tony Bradley
2017-18 Regular Season,,"Kendrick Perkins, CLE",1,15,0.521,34,17,12.1,0,7.4,3.7,8.45,0,-0.5,0,http://insider.espn.go.com/nba/players/hollinger?playerId=2018,Kendrick Perkins
2017-18 Regular Season,,"Jalen Jones, NO/DAL",16,11.3,0.485,4.6,8,10,7.7,15.7,11.6,10.31,0,-0.5,0,http://insider.espn.go.com/nba/players/hollinger?playerId=2579476,Jalen Jones
2017-18 Regular Season,,"Chris Boucher, GS",1,1,0,0,0,39.1,0,104.7,55.9,-28.48,0,-0.6,0,http://insider.espn.go.com/nba/players/hollinger?playerId=3948153,Chris Boucher
2017-18 Regular Season,,"PJ Dozier, OKC",2,1.5,0.5,0,33.3,40.1,0,38.3,18.5,-4.82,0,-0.7,0,http://insider.espn.go.com/nba/players/hollinger?playerId=3923250,PJ Dozier
2017-18 Regular Season,,"Georges Niang, UTAH",9,3.6,0.379,16.8,16.8,20.2,10.8,21.1,16,9.22,0,-0.8,0,http://insider.espn.go.com/nba/players/hollinger?playerId=2990969,Georges Niang
2017-18 Regular Season,RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
2017-18 Regular Season,,"Thomas Bryant, LAL",15,4.8,0.441,18.2,6.1,15.6,4.5,20.5,12.6,9.89,0,-0.8,0,http://insider.espn.go.com/nba/players/hollinger?playerId=3934723,Thomas Bryant
2017-18 Regular Season,,"Marcus Paige, CHA",5,5.6,0.403,16.8,0,22.5,0,15.7,7.7,9.13,0,-0.8,0,http://insider.espn.go.com/nba/players/hollinger?playerId=2982329,Marcus Paige
2017-18 Regular Season,,"Doug McDermott, DAL/NY",81,21.8,0.579,11.6,8.3,15.3,2.5,10.1,6.3,10.46,0,-1,0,http://insider.espn.go.com/nba/players/hollinger?playerId=2528588,Doug McDermott
2017-18 Regular Season,,"Luol Deng, LAL",1,13,0.5,25,25,10,0,0,0,5.54,0,-1,0,http://insider.espn.go.com/nba/players/hollinger?playerId=2429,Luol Deng
2017-18 Regular Season,,"Isaiah Taylor, ATL",67,17.4,0.492,27.8,11.3,20.5,2.1,6.9,4.5,10.94,0,-1,0,http://insider.espn.go.com/nba/players/hollinger?playerId=3059336,Isaiah Taylor
2017-18 Regular Season,,"Omari Johnson, MEM",4,18.8,0.524,22.6,9.7,14.4,6,11.1,8.5,10.54,0,-1.1,0,http://insider.espn.go.com/nba/players/hollinger?playerId=2284046,Omari Johnson
2017-18 Regular Season,,"D.J. Wilson, MIL",22,3.2,0.622,12.6,16.8,12.5,3.3,13.2,8.3,10.33,0,-1.2,0,http://insider.espn.go.com/nba/players/hollinger?playerId=3136491,D.J. Wilson
2017-18 Regular Season,,"RJ Hunter, HOU",5,9,0.455,11.6,7.7,21.2,0,12.4,6.3,8.52,0,-1.3,0,http://insider.espn.go.com/nba/players/hollinger?playerId=2983727,RJ Hunter
2017-18 Regular Season,,"Derrick Jones Jr., MIA/PHX",20,12.3,0.48,11.3,8.8,12.5,9.5,7.8,8.7,10.1,0,-1.5,0,http://insider.espn.go.com/nba/players/hollinger?playerId=3936099,Derrick Jones Jr.
2017-18 Regular Season,400,"Antonio Blakeney, CHI",19,16.5,0.471,10.5,5.8,22.5,1.3,10.3,5.6,10.18,-0.1,-1.5,-0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3907386,Antonio Blakeney
2017-18 Regular Season,Hollinger Stats - Estimated Wins Added - All Players,,,,,,,,,,,,,,,,
2017-18 Regular Season,RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
2017-18 Regular Season,401,"Xavier Silas, BOS",2,3.5,0,0,0,17.4,15.8,15.4,15.6,-4.87,-0.1,-1.6,-0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=6499,Xavier Silas
2017-18 Regular Season,,"Jarell Eddie, BOS/CHI",3,3,0,0,0,6.8,0,12.1,6,-1.87,-0.1,-1.7,-0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2528803,Jarell Eddie
2017-18 Regular Season,,"Scotty Hopson, DAL",1,8,0.266,25.8,25.8,16.4,0,0,0,-4.6,-0.1,-1.8,-0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2328418,Scotty Hopson
2017-18 Regular Season,,"Ben Moore, IND",2,4.5,0,100,0,1.5,0,12.5,6.3,-2.26,-0.1,-1.8,-0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3057189,Ben Moore
2017-18 Regular Season,,"Michael Carter-Williams, CHA",52,16.1,0.446,26.6,11.9,17,4.7,13.3,8.9,10.84,-0.1,-1.9,-0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2596108,Michael Carter-Williams
2017-18 Regular Season,,"Alan Williams, PHX",5,14,0.455,21.6,18.9,17.5,4.5,29.5,16.8,9.35,-0.1,-2.2,-0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2579326,Alan Williams
2017-18 Regular Season,,"Erik McCree, UTAH",4,2,0,0,33.3,15.3,0,14,7.1,-8.91,-0.1,-2.3,-0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2994165,Erik McCree
2017-18 Regular Season,,"Malik Monk, CHA",63,13.5,0.477,15.6,8.4,24.2,1,7.5,4.2,10.32,-0.1,-2.3,-0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=4066262,Malik Monk
2017-18 Regular Season,,"Alec Peters, PHX",20,11.3,0.523,12.7,4.2,14.9,3.7,14,8.8,10.71,-0.1,-2.7,-0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3062897,Alec Peters
2017-18 Regular Season,,"Malcolm Miller, TOR",15,8.4,0.638,7.9,13.2,11.3,3.6,9.6,6.7,8.93,-0.1,-3,-0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2580980,Malcolm Miller
2017-18 Regular Season,RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
2017-18 Regular Season,,"Briante Weber, HOU/MEM",18,13.2,0.527,26.1,17.8,11.9,3.8,13.1,8.4,10.13,-0.1,-3.1,-0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2595229,Briante Weber
2017-18 Regular Season,,"Okaro White, MIA",6,13.3,0.577,9.8,4.9,9.7,4.2,11.2,7.7,8.91,-0.1,-3.1,-0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2528473,Okaro White
2017-18 Regular Season,,"Aaron Brooks, MIN",32,5.9,0.508,19.1,10.5,19.6,4.2,6.2,5.2,9.85,-0.1,-3.2,-0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3192,Aaron Brooks
2017-18 Regular Season,,"Cole Aldrich, MIN",21,2.3,0.34,13.9,4.6,16.2,7,28.6,17.7,6.05,-0.1,-3.3,-0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=4267,Cole Aldrich
2017-18 Regular Season,,"Gary Payton II, LAL/MIL",23,9.6,0.443,19.8,6.6,17.4,6.6,15.5,11.1,9.8,-0.1,-4,-0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3134903,Gary Payton II
2017-18 Regular Season,,"Kyle Singler, OKC",12,4.9,0.43,6.3,9.5,20.7,1.8,17.5,9.4,5.92,-0.1,-4,-0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=6469,Kyle Singler
2017-18 Regular Season,,"Xavier Munford, MIL",6,3.5,0.218,31.1,15.5,19.7,5.6,0,2.8,-2.04,-0.1,-4.1,-0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2983512,Xavier Munford
2017-18 Regular Season,,"Tyrone Wallace, LAC",30,28.4,0.517,17.8,11.5,16.3,2.7,10.7,6.8,10.18,-0.1,-4.1,-0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3002137,Tyrone Wallace
2017-18 Regular Season,,"Alex Poythress, IND",25,4.2,0.5,6.7,6.7,11.2,7.7,10.8,9.2,7.84,-0.1,-4.1,-0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2991283,Alex Poythress
2017-18 Regular Season,,"Marcus Smart, BOS",54,29.9,0.48,26.9,13.4,19.8,3,9.7,6.4,10.83,-0.1,-4.2,-0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2990992,Marcus Smart
2017-18 Regular Season,RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
2017-18 Regular Season,,"Aaron Jackson, HOU",1,35,0.405,8.4,8.4,12.8,6.5,3.2,4.8,2.47,-0.1,-4.4,-0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2198243,Aaron Jackson
2017-18 Regular Season,422,"Henry Ellenson, DET",38,8.7,0.476,10.2,9.1,22.6,3.3,24.3,13.6,10.58,-0.2,-4.5,-0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3906522,Henry Ellenson
2017-18 Regular Season,,"Chinanu Onuaku, HOU",1,22,0.4,11.1,33.3,15.1,5.2,15.2,10.2,-3.19,-0.2,-4.5,-0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3147366,Chinanu Onuaku
2017-18 Regular Season,,"T.J. Leaf, IND",53,8.6,0.545,5.6,6.2,13.8,7.2,13,10.1,10.81,-0.2,-4.8,-0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=4066425,T.J. Leaf
2017-18 Regular Season,,"Terrence Ross, ORL",24,25,0.505,13.9,10.6,16.4,1.8,11.6,6.7,9.96,-0.2,-4.9,-0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=6619,Terrence Ross
2017-18 Regular Season,,"Bruno Caboclo, SAC/TOR",12,8.9,0.386,9.6,9.6,15,7.2,16.6,11.7,7.43,-0.2,-4.9,-0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3113297,Bruno Caboclo
2017-18 Regular Season,,"Damian Jones, GS",15,5.9,0.517,6.6,13.2,12.7,6.8,10.6,8.8,6.88,-0.2,-4.9,-0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3064559,Damian Jones
2017-18 Regular Season,,"Malcolm Delaney, ATL",54,18.8,0.519,29.4,11.9,17.4,1,10,5.5,10.67,-0.2,-5,-0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=2282205,Malcolm Delaney
2017-18 Regular Season,,"Jon Leuer, DET",8,17,0.505,9.2,12.8,15.3,5.6,20.7,13,8.98,-0.2,-5.1,-0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=6452,Jon Leuer
2017-18 Regular Season,,"Garrett Temple, SAC",65,24.8,0.536,17.4,11.1,16,1.5,9.6,5.4,10.29,-0.2,-5.2,-0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=4023,Garrett Temple
2017-18 Regular Season,RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
2017-18 Regular Season,,"Markel Brown, HOU",4,7.8,0.357,18.2,18.2,12.5,3.7,14.4,9.1,-1.21,-0.2,-5.4,-0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=2530750,Markel Brown
2017-18 Regular Season,,"Lorenzo Brown, TOR",14,9.9,0.459,25.6,5.9,12.1,0.8,11.1,6,8.21,-0.2,-5.8,-0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=2528787,Lorenzo Brown
2017-18 Regular Season,,"Torrey Craig, DEN",39,16.1,0.535,12.7,10.1,11.6,7.2,15.5,11.4,9.86,-0.2,-6,-0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=2528693,Torrey Craig
2017-18 Regular Season,,"Myke Henry, MEM",20,18.9,0.472,14.2,12.3,15.1,3,8.8,5.8,9.74,-0.2,-6,-0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=2579251,Myke Henry
2017-18 Regular Season,,"Jaylen Morris, ATL",6,16.3,0.438,15.6,13.3,16.3,2.3,15.9,9.1,6.57,-0.2,-6.2,-0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3952343,Jaylen Morris
2017-18 Regular Season,,"Darrell Arthur, DEN",19,7.4,0.559,12.4,20.7,18.9,2.4,9.5,6,8.46,-0.2,-6.4,-0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3413,Darrell Arthur
2017-18 Regular Season,,"Tyler Dorsey, ATL",56,17.4,0.494,15,7,19.2,2,12.9,7.4,10.05,-0.2,-6.5,-0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3915560,Tyler Dorsey
2017-18 Regular Season,,"Demetrius Jackson, HOU/PHI",15,5.3,0.424,23.8,26.4,15.6,7.1,9.6,8.4,5.39,-0.2,-6.7,-0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3059273,Demetrius Jackson
2017-18 Regular Season,,"Luke Babbitt, ATL/MIA",50,14.3,0.576,11.3,6.9,14,1.1,13.9,7.5,9.87,-0.2,-6.7,-0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=4250,Luke Babbitt
2017-18 Regular Season,,"Thon Maker, MIL",74,16.7,0.499,10.3,9.8,13.6,7.1,14.2,10.6,10.22,-0.2,-7.1,-0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=4017843,Thon Maker
2017-18 Regular Season,RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
2017-18 Regular Season,,"Ron Baker, NY",29,13.3,0.504,34.7,13.3,10.9,1.4,7.2,4.3,9.26,-0.2,-7.1,-0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=2580349,Ron Baker
2017-18 Regular Season,,"Juan Hernangomez, DEN",25,11.1,0.511,11.8,8.9,13.5,7.4,14.6,11,9.74,-0.2,-7.3,-0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=4017839,Juan Hernangomez
2017-18 Regular Season,,"Joe Young, IND",53,10.5,0.521,14.8,9.9,17.3,2.4,10.3,6.4,10.12,-0.2,-7.3,-0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=2528386,Joe Young
2017-18 Regular Season,,"Kyle Collinsworth, DAL",32,15,0.433,28.5,12.2,13.5,7.2,18,12.4,9.97,-0.2,-7.4,-0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=2528327,Kyle Collinsworth
2017-18 Regular Season,,"Nigel Hayes, LAL/SAC/TOR",9,13.6,0.393,14.2,4.7,14.5,0,0,0,6.44,-0.2,-7.4,-0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3059409,Nigel Hayes
2017-18 Regular Season,,"Shane Larkin, BOS",54,14.4,0.491,26.8,9,15.7,2.1,10.7,6.5,10.36,-0.2,-7.5,-0.2,http://insider.espn.go.com/nba/players/hollinger?playerId=2596158,Shane Larkin
2017-18 Regular Season,447,"Marquese Chriss, PHX",72,21.2,0.509,11.3,14.5,17.3,5.2,22.7,13.8,11.14,-0.3,-8.2,-0.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3907487,Marquese Chriss
2017-18 Regular Season,,"Nick Young, GS",80,17.4,0.562,6.1,6.6,15.9,1.7,7.9,5,10.1,-0.3,-8.2,-0.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3243,Nick Young
2017-18 Regular Season,,"Larry Drew II, NO/PHI",10,7,0.354,27,8.1,15.3,4.8,0,2.3,2.99,-0.3,-8.4,-0.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2325495,Larry Drew II
2017-18 Regular Season,,"Furkan Korkmaz, PHI",14,5.7,0.386,11.2,5.6,16.1,2.8,11.7,7.4,3.43,-0.3,-8.4,-0.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3929325,Furkan Korkmaz
2017-18 Regular Season,Hollinger Stats - Estimated Wins Added - All Players,,,,,,,,,,,,,,,,
2017-18 Regular Season,RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
2017-18 Regular Season,451,"Charles Cooke, NO",13,2.9,0.202,5.9,5.9,16.5,0,5.5,2.9,-5.06,-0.3,-8.8,-0.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2988387,Charles Cooke
2017-18 Regular Season,,"Julyan Stone, CHA",23,7.6,0.684,55.5,14.9,6.7,0.6,17.6,9,7.61,-0.3,-8.9,-0.3,http://insider.espn.go.com/nba/players/hollinger?playerId=6543,Julyan Stone
2017-18 Regular Season,,"Milton Doyle, BKN",10,12.5,0.337,16,3.2,17.6,2.5,12.9,7.6,5.27,-0.3,-9.8,-0.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2992564,Milton Doyle
2017-18 Regular Season,,"C.J. Williams, LAC",38,18.6,0.512,16.1,7.5,13.3,1.9,6.8,4.4,9.56,-0.3,-10,-0.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2325499,C.J. Williams
2017-18 Regular Season,,"Richard Jefferson, DEN",20,8.2,0.499,30,10,9.9,1.4,10.3,5.9,6.38,-0.3,-10,-0.3,http://insider.espn.go.com/nba/players/hollinger?playerId=1006,Richard Jefferson
2017-18 Regular Season,,"Darrun Hilliard, SA",14,6.8,0.362,29.7,10.8,12.8,0,8.2,4.1,3.38,-0.3,-10.1,-0.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2578259,Darrun Hilliard
2017-18 Regular Season,,"London Perrantes, CLE",14,4.7,0.23,23.6,4.7,10.8,1.7,5,3.4,0.69,-0.3,-10.2,-0.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3059286,London Perrantes
2017-18 Regular Season,,"Udonis Haslem, MIA",14,5.1,0.252,21.9,8.7,11.1,4.7,10.9,7.8,1.8,-0.3,-10.4,-0.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2184,Udonis Haslem
2017-18 Regular Season,459,"Antonius Cleveland, ATL/DAL",17,7.2,0.486,6.1,21.4,12.1,2.7,10.2,6.3,4.57,-0.4,-10.9,-0.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3064237,Antonius Cleveland
2017-18 Regular Season,,"OG Anunoby, TOR",74,20,0.587,11.6,9.5,11.8,3.4,10.4,7,10,-0.4,-11.1,-0.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3934719,OG Anunoby
2017-18 Regular Season,RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
2017-18 Regular Season,,"Jason Smith, WSH",33,8.6,0.455,9.1,10.4,20.5,7.2,13.9,10.5,8.88,-0.4,-11.1,-0.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3232,Jason Smith
2017-18 Regular Season,,"Nik Stauskas, BKN/PHI",41,12.8,0.543,16.8,11.2,16.2,0.8,12.3,6.5,9.05,-0.4,-11.3,-0.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2991042,Nik Stauskas
2017-18 Regular Season,,"Caleb Swanigan, POR",27,7,0.449,14,18,19.3,8.7,22.3,15.6,7.49,-0.4,-11.3,-0.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3906671,Caleb Swanigan
2017-18 Regular Season,,"Dante Cunningham, NO/BKN",73,21.4,0.539,10.3,7.1,9.2,5.5,14.8,10.3,10,-0.4,-11.6,-0.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3974,Dante Cunningham
2017-18 Regular Season,,"John Holland, CLE",24,7.3,0.417,6.4,10.3,17,3.9,11.4,7.7,5.93,-0.4,-11.9,-0.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2282117,John Holland
2017-18 Regular Season,,"Marcus Georges-Hunt, MIN",42,5.3,0.515,10.4,4.5,11.3,3.6,4.7,4.1,6.88,-0.4,-12.1,-0.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2982261,Marcus Georges-Hunt
2017-18 Regular Season,,"Travis Wear, LAL",17,13.4,0.497,7.9,6.8,14.3,0,17.6,8.9,6.9,-0.4,-12.3,-0.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2488674,Travis Wear
2017-18 Regular Season,,"Ben McLemore, MEM",56,19.5,0.526,9.9,11.9,18,3.5,11.4,7.4,9.73,-0.4,-12.6,-0.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2578213,Ben McLemore
2017-18 Regular Season,,"Kadeem Allen, BOS",18,5.9,0.366,25.6,19.2,14.8,4.1,7.1,5.6,2.61,-0.4,-12.6,-0.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3134880,Kadeem Allen
2017-18 Regular Season,,"Malik Beasley, DEN",62,9.5,0.509,12.5,9.7,15.6,2.7,10.9,6.8,9.03,-0.4,-12.8,-0.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3907822,Malik Beasley
2017-18 Regular Season,RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
2017-18 Regular Season,,"Mario Chalmers, MEM",66,21.5,0.503,24.1,14.3,19.8,1,12,6.4,10.39,-0.4,-12.9,-0.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3419,Mario Chalmers
2017-18 Regular Season,,"Jonathan Isaac, ORL",27,19.8,0.465,9,13.4,14,3.3,17.2,10.2,9.85,-0.4,-13.2,-0.4,http://insider.espn.go.com/nba/players/hollinger?playerId=4065654,Jonathan Isaac
2017-18 Regular Season,,"Jake Layman, POR",35,4.6,0.352,17.1,7.8,14.4,2.8,8.1,5.5,4.9,-0.4,-13.4,-0.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2982268,Jake Layman
2017-18 Regular Season,474,"Andrew White III, ATL",15,13.9,0.461,6.8,9,16.1,2.1,16,9.1,5.85,-0.5,-14.5,-0.5,http://insider.espn.go.com/nba/players/hollinger?playerId=2990972,Andrew White III
2017-18 Regular Season,,"Jamel Artis, ORL",15,18.6,0.457,16.3,7.3,14,1.6,13.5,7.5,6.96,-0.5,-14.7,-0.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3059276,Jamel Artis
2017-18 Regular Season,,"James Webb III, BKN",10,12,0.333,12.5,12.5,9.6,7,14.3,10.6,2.26,-0.5,-14.8,-0.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3079021,James Webb III
2017-18 Regular Season,,"Alex Caruso, LAL",37,15.2,0.519,30.5,17.1,13.5,2.9,9.4,6.2,8.72,-0.5,-15,-0.5,http://insider.espn.go.com/nba/players/hollinger?playerId=2991350,Alex Caruso
2017-18 Regular Season,,"Wesley Johnson, LAC",74,20.1,0.512,12,10.8,12.4,2.2,13.6,8,9.81,-0.5,-15.3,-0.5,http://insider.espn.go.com/nba/players/hollinger?playerId=4247,Wesley Johnson
2017-18 Regular Season,,"Kay Felder, CHI/DET",16,8.8,0.379,18,14.4,27.5,2.2,11.9,6.9,3.64,-0.5,-15.4,-0.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3062892,Kay Felder
2017-18 Regular Season,,"Troy Daniels, PHX",79,20.5,0.583,6.8,7.9,16.2,0.8,7.7,4.2,9.86,-0.5,-15.4,-0.5,http://insider.espn.go.com/nba/players/hollinger?playerId=2489530,Troy Daniels
2017-18 Regular Season,RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
2017-18 Regular Season,,"Sterling Brown, MIL",54,14.4,0.503,9.4,9.4,13,4.1,17.5,10.8,9.13,-0.5,-15.9,-0.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3057187,Sterling Brown
2017-18 Regular Season,,"Solomon Hill, NO",12,15.6,0.332,29.5,12.1,12.4,5.4,15.1,10.4,4.79,-0.5,-15.9,-0.5,http://insider.espn.go.com/nba/players/hollinger?playerId=2488958,Solomon Hill
2017-18 Regular Season,,"Isaiah Hicks, NY",18,13.3,0.5,14.3,14.3,17,4.7,14.3,9.5,6.88,-0.5,-16.5,-0.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3074765,Isaiah Hicks
2017-18 Regular Season,484,"Ryan Arcidiacono, CHI",24,12.7,0.55,38.2,14.2,8.9,0.3,8.8,4.4,7.3,-0.6,-16.8,-0.6,http://insider.espn.go.com/nba/players/hollinger?playerId=2991047,Ryan Arcidiacono
2017-18 Regular Season,,"Iman Shumpert, CLE",14,19.7,0.48,17.4,16.4,12.4,2.9,13.6,8.3,6.42,-0.6,-16.8,-0.6,http://insider.espn.go.com/nba/players/hollinger?playerId=6468,Iman Shumpert
2017-18 Regular Season,,"Avery Bradley, DET/LAC",46,31.2,0.496,11,11.8,23.2,1.7,7.4,4.5,9.71,-0.6,-16.9,-0.6,http://insider.espn.go.com/nba/players/hollinger?playerId=4240,Avery Bradley
2017-18 Regular Season,,"Jared Dudley, PHX",48,14.3,0.553,32,11.5,10.8,1.2,13.6,7.3,8.79,-0.6,-17.5,-0.6,http://insider.espn.go.com/nba/players/hollinger?playerId=3201,Jared Dudley
2017-18 Regular Season,,"Zhou Qi, HOU",18,6.9,0.295,4.1,20.3,15.4,5.5,14.4,10,1.9,-0.6,-17.8,-0.6,http://insider.espn.go.com/nba/players/hollinger?playerId=3892894,Zhou Qi
2017-18 Regular Season,,"Aaron Harrison, DAL",9,25.9,0.392,12.2,3.3,14.6,1.8,9.9,5.7,5.15,-0.6,-18.6,-0.6,http://insider.espn.go.com/nba/players/hollinger?playerId=3064510,Aaron Harrison
2017-18 Regular Season,,"Evan Turner, POR",79,25.7,0.52,19.3,11,15.5,1.6,11.4,6.5,9.88,-0.6,-18.9,-0.6,http://insider.espn.go.com/nba/players/hollinger?playerId=4239,Evan Turner
2017-18 Regular Season,RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
