Field13,Field,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,sortcell,Field12,EWA,Field14,Player
Select Year,Hollinger Stats - Estimated Wins Added - All Players,,,,,,,,,,,,,,,,
Select Year,RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
Select Year,28,"Ben Simmons, PHI",57,35.4,0.602,31.7,14,22.7,6.2,18.2,12.2,20.47,9.5,285,9.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3907387,Ben Simmons
Select Year,29,"Karl-Anthony Towns, MIN",35,33.9,0.642,15.5,11.2,28.8,8.1,26.1,16.8,26.53,9.4,282.3,9.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3136195,Karl-Anthony Towns
Select Year,30,"Jarrett Allen, BKN",70,26.5,0.664,14.3,10,14.9,12.3,24.9,18.7,20.69,9.3,278.9,9.3,http://insider.espn.go.com/nba/players/hollinger?playerId=4066328,Jarrett Allen
Select Year,RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
Select Year,31,"Mitchell Robinson, NY",61,23.1,0.726,7.5,7.7,13.1,13.7,18.8,16.2,23.51,9.1,272.1,9.1,http://insider.espn.go.com/nba/players/hollinger?playerId=4351852,Mitchell Robinson
Select Year,32,"Zach LaVine, CHI",60,34.8,0.568,14.1,11.4,31.6,2.1,13.8,7.7,19.52,8.8,265.1,8.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3064440,Zach LaVine
Select Year,,"Brandon Ingram, NO",62,33.9,0.587,15.2,11.1,28.2,2.6,16.6,9.6,18.88,8.8,263.2,8.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3913176,Brandon Ingram
Select Year,,"Shai Gilgeous-Alexander, OKC",70,34.7,0.568,15.1,8.7,23.2,2.2,16.1,9.4,17.76,8.8,263.1,8.8,http://insider.espn.go.com/nba/players/hollinger?playerId=4278073,Shai Gilgeous-Alexander
Select Year,35,"T.J. Warren, IND",67,32.9,0.61,7.8,6.6,22.2,3.4,10.4,7,18.45,8.7,261.4,8.7,http://insider.espn.go.com/nba/players/hollinger?playerId=2982334,T.J. Warren
Select Year,36,"CJ McCollum, POR",70,36.5,0.541,16.5,6.8,26,1.9,10.2,6.1,17.08,8.4,250.9,8.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2490149,CJ McCollum
Select Year,37,"Tobias Harris, PHI",72,34.3,0.556,14.2,6.5,23.8,3.1,19.1,11.1,17.25,8.3,248.6,8.3,http://insider.espn.go.com/nba/players/hollinger?playerId=6440,Tobias Harris
Select Year,,"Steven Adams, OKC",63,26.7,0.604,18.1,11.7,17.2,14,24,19.2,20.48,8.3,247.7,8.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2991235,Steven Adams
Select Year,39,"John Collins, ATL",41,33.2,0.659,7.4,9.3,21.9,9,24,16.4,23.59,8.2,246,8.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3908845,John Collins
Select Year,40,"Kristaps Porzingis, DAL",57,31.8,0.551,8.2,7.4,26.3,5.9,25.1,15.6,20.3,7.9,238.2,7.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3102531,Kristaps Porzingis
Select Year,RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
Select Year,,"De'Aaron Fox, SAC",51,32,0.558,23.7,10.7,30.8,2.4,11.4,6.8,20.7,7.9,236.5,7.9,http://insider.espn.go.com/nba/players/hollinger?playerId=4066259,De'Aaron Fox
Select Year,42,"Kemba Walker, BOS",56,31.1,0.575,19.4,8.5,27.8,2.2,11,6.7,20,7.8,234,7.8,http://insider.espn.go.com/nba/players/hollinger?playerId=6479,Kemba Walker
Select Year,43,"Christian Wood, DET",62,21.4,0.659,7.9,11.1,22.3,8.8,24.8,16.7,23.22,7.7,231.7,7.7,http://insider.espn.go.com/nba/players/hollinger?playerId=3058254,Christian Wood
Select Year,44,"Paul George, LAC",48,29.6,0.589,15.6,10.5,29.6,1.8,17.7,10,21.14,7.5,225.3,7.5,http://insider.espn.go.com/nba/players/hollinger?playerId=4251,Paul George
Select Year,45,"Ivica Zubac, LAC",72,18.4,0.651,13.6,10.1,16.3,15.9,26.4,21.3,21.75,7.4,220.7,7.4,http://insider.espn.go.com/nba/players/hollinger?playerId=4017837,Ivica Zubac
Select Year,46,"Danilo Gallinari, OKC",62,29.6,0.612,10.4,6.6,23.6,2.1,16.8,9.7,19.5,7.3,218.9,7.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3428,Danilo Gallinari
