NAME_URL,NAME,POS,G,M,AJP48,WP48,WP,POP48,PTS,REB,AST
https://www.boxscoregeeks.com/players/4-zaza-pachulia,Zaza Pachulia,5.0,76,2004,.419,.207,8.6,3.4,15.6,17.2,3.1
https://www.boxscoregeeks.com/players/433-zach-randolph,Zach Randolph,4.4,68,2016,.267,.055,2.3,-1.4,24.8,12.6,3.4
https://www.boxscoregeeks.com/players/1481-zach-lavine,Zach LaVine,1.7,82,2294,.113,.020,.9,-2.5,24.1,4.8,5.3
https://www.boxscoregeeks.com/players/3129-xavier-munford,Xavier Munford,2.0,14,244,.122,.038,.2,-1.9,15.7,6.1,4.3
https://www.boxscoregeeks.com/players/67-wilson-chandler,Wilson Chandler,3.0,0,0,0,0,0,0,0,0,0
https://www.boxscoregeeks.com/players/1334-willie-reed,Willie Reed,5.0,39,426,.381,.169,1.5,2.2,20.5,13.7,1.1
https://www.boxscoregeeks.com/players/3099-willie-cauley-stein,Willie Cauley-Stein,4.2,66,1412,.364,.152,4.5,1.7,15.7,12.0,1.3
https://www.boxscoregeeks.com/players/1305-will-barton,Will Barton,3.0,82,2353,.212,.128,6.3,.9,24.0,9.7,4.1
https://www.boxscoregeeks.com/players/281-wesley-matthews,Wesley Matthews,2.8,78,2644,.148,.064,3.5,-1.1,17.7,4.3,2.7
https://www.boxscoregeeks.com/players/184-wesley-johnson,Wesley Johnson,3.0,80,1666,.195,.111,3.9,.4,15.8,7.1,1.4
https://www.boxscoregeeks.com/players/181-wayne-ellington,Wayne Ellington,2.0,76,1615,.097,.013,.4,-2.7,17.4,5.2,2.5
https://www.boxscoregeeks.com/players/1496-walter-tavares,Walter Tavares,5.0,11,73,.349,.137,.2,1.2,16.4,13.8,2.0
https://www.boxscoregeeks.com/players/261-vince-carter,Vince Carter,2.7,60,1005,.184,.100,2.1,.0,18.9,7.0,2.7
https://www.boxscoregeeks.com/players/1417-victor-oladipo,Victor Oladipo,2.0,72,2379,.219,.134,6.7,1.1,23.3,7.0,5.7
https://www.boxscoregeeks.com/players/160-udonis-haslem,Udonis Haslem,4.0,37,260,.235,.023,.1,-2.4,10.9,13.8,2.6
https://www.boxscoregeeks.com/players/3068-tyus-jones,Tyus Jones,1.0,37,573,.151,.041,.5,-1.8,13.1,3.9,9.0
https://www.boxscoregeeks.com/players/368-tyson-chandler,Tyson Chandler,5.0,66,1618,.436,.224,7.5,3.9,14.0,17.1,1.9
https://www.boxscoregeeks.com/players/290-tyreke-evans,Tyreke Evans,2.0,25,765,.232,.148,2.4,1.5,23.8,8.1,10.3
https://www.boxscoregeeks.com/players/1258-tyler-zeller,Tyler Zeller,4.2,60,710,.221,.009,.1,-2.8,24.6,12.0,2.0
https://www.boxscoregeeks.com/players/2934-tyler-johnson,Tyler Johnson,2.0,36,863,.233,.149,2.7,1.5,17.5,6.1,4.4
https://www.boxscoregeeks.com/players/115-tyler-hansbrough,Tyler Hansbrough,4.5,44,343,.292,.080,.6,-.6,14.6,12.5,1.1
https://www.boxscoregeeks.com/players/1475-tyler-ennis,Tyler Ennis,1.0,46,654,.129,.019,.3,-2.5,15.1,5.5,7.0
https://www.boxscoregeeks.com/players/74-ty-lawson,Ty Lawson,1.0,66,1411,.141,.031,.9,-2.1,12.7,4.1,8.1
https://www.boxscoregeeks.com/players/1434-troy-daniels,Troy Daniels,1.0,43,476,.222,.111,1.1,.4,24.4,5.7,2.1
https://www.boxscoregeeks.com/players/471-tristan-thompson,Tristan Thompson,5.0,82,2269,.469,.257,12.1,4.9,13.6,15.6,1.3
https://www.boxscoregeeks.com/players/3114-trey-lyles,Trey Lyles,4.0,80,1382,.216,.004,.1,-3.0,16.9,10.4,2.0
https://www.boxscoregeeks.com/players/1376-trey-burke,Trey Burke,1.0,64,1366,.101,-.010,-.3,-3.4,23.9,3.9,5.2
https://www.boxscoregeeks.com/players/338-trevor-booker,Trevor Booker,4.0,79,1632,.366,.154,5.2,1.7,13.6,13.3,2.5
https://www.boxscoregeeks.com/players/205-trevor-ariza,Trevor Ariza,3.5,81,2859,.230,.084,5.0,-.5,17.2,6.1,3.2
https://www.boxscoregeeks.com/players/1282-tony-wroten,Tony Wroten,1.0,8,144,-.293,-.403,-1.2,-15.6,22.3,7.0,6.7
https://www.boxscoregeeks.com/players/1336-tony-snell,Tony Snell,2.8,64,1301,.108,.024,.6,-2.3,12.5,7.3,2.3
https://www.boxscoregeeks.com/players/310-tony-parker,Tony Parker,1.0,72,1980,.229,.118,4.9,.6,20.8,4.3,9.2
https://www.boxscoregeeks.com/players/146-tony-allen,Tony Allen,1.0,64,1620,.240,.130,4.4,1.0,15.9,8.8,2.1
https://www.boxscoregeeks.com/players/219-toney-douglas,Toney Douglas,1.0,61,1262,.204,.094,2.5,-.2,20.2,5.4,6.0
https://www.boxscoregeeks.com/players/603-tobias-harris,Tobias Harris,3.1,76,2513,.283,.191,10.0,2.9,21.3,9.7,3.2
https://www.boxscoregeeks.com/players/75-timofey-mozgov,Timofey Mozgov,5.0,76,1326,.329,.117,3.2,.5,17.2,12.2,1.2
https://www.boxscoregeeks.com/players/1350-tim-hardaway-jr,Tim Hardaway Jr.,2.0,51,864,.195,.111,2.0,.4,18.1,4.8,2.8
https://www.boxscoregeeks.com/players/2965-tim-frazier,Tim Frazier,1.0,51,741,.205,.095,1.5,-.1,16.9,7.1,10.5
https://www.boxscoregeeks.com/players/303-tim-duncan,Tim Duncan,5.0,61,1536,.389,.177,5.7,2.4,16.3,14.0,5.1
https://www.boxscoregeeks.com/players/3117-tibor-pleiss,Tibor Pleiss,5.0,12,82,-.029,-.241,-.4,-10.6,14.0,8.8,1.2
https://www.boxscoregeeks.com/players/311-tiago-splitter,Tiago Splitter,5.0,36,579,.299,.087,1.1,-.4,16.7,9.9,2.5
https://www.boxscoregeeks.com/players/1310-thomas-robinson,Thomas Robinson,4.2,71,917,.310,.098,1.9,.0,16.1,18.8,2.4
https://www.boxscoregeeks.com/players/1487-thanasis-antetokounmpo,Thanasis Antetokounmpo,3.0,2,6,.361,.277,.0,5.5,48.0,8.0,0
https://www.boxscoregeeks.com/players/259-thaddeus-young,Thaddeus Young,4.0,73,2407,.278,.066,3.3,-1.0,22.0,13.2,2.7
https://www.boxscoregeeks.com/players/236-thabo-sefolosha,Thabo Sefolosha,3.0,75,1758,.328,.244,9.0,4.5,13.1,9.1,2.9
https://www.boxscoregeeks.com/players/3006-terry-rozier,Terry Rozier,1.0,39,311,.049,-.062,-.4,-5.0,11.1,9.7,5.7
https://www.boxscoregeeks.com/players/1313-terrence-ross,Terrence Ross,2.0,73,1747,.182,.098,3.6,.0,19.8,5.1,1.5
https://www.boxscoregeeks.com/players/1273-terrence-jones,Terrence Jones,4.0,50,1044,.198,-.014,-.3,-3.5,20.0,9.7,1.9
https://www.boxscoregeeks.com/players/429-tayshaun-prince,Tayshaun Prince,3.4,77,1462,.158,.018,.6,-2.5,7.3,4.8,2.4
https://www.boxscoregeeks.com/players/2974-tarik-black,Tarik Black,4.8,39,496,.316,.104,1.1,.1,12.9,15.2,1.5
https://www.boxscoregeeks.com/players/35-taj-gibson,Taj Gibson,4.0,73,1936,.372,.165,6.6,2.0,15.5,12.5,2.6
https://www.boxscoregeeks.com/players/1476-t-j-warren,T.J. Warren,3.4,47,1070,.218,.087,1.9,-.4,23.1,6.6,2.0
https://www.boxscoregeeks.com/players/3088-t-j-mcconnell,T.J. McConnell,1.0,81,1606,.275,.165,5.5,2.0,14.7,7.5,11.0
https://www.boxscoregeeks.com/players/1419-steven-adams,Steven Adams,5.0,80,2014,.398,.186,7.8,2.7,15.2,12.7,1.5
https://www.boxscoregeeks.com/players/421-steve-novak,Steve Novak,4.0,10,44,.200,-.012,.0,-3.4,26.2,5.5,0
https://www.boxscoregeeks.com/players/135-steve-blake,Steve Blake,1.0,58,986,.185,.074,1.5,-.8,12.4,4.3,9.7
https://www.boxscoregeeks.com/players/92-stephen-curry,Stephen Curry,1.0,79,2700,.492,.382,21.5,8.8,42.2,7.6,9.4
https://www.boxscoregeeks.com/players/3036-stanley-johnson,Stanley Johnson,2.8,73,1687,.094,.010,.4,-2.8,16.9,8.7,3.4
https://www.boxscoregeeks.com/players/251-spencer-hawes,Spencer Hawes,4.9,57,1035,.241,.029,.6,-2.2,15.8,11.3,5.1
https://www.boxscoregeeks.com/players/1494-spencer-dinwiddie,Spencer Dinwiddie,1.1,12,159,.021,-.088,-.3,-5.8,17.5,5.1,6.6
https://www.boxscoregeeks.com/players/324-sonny-weems,Sonny Weems,2.0,43,499,.031,-.053,-.5,-4.7,10.3,5.1,4.7
https://www.boxscoregeeks.com/players/1387-solomon-hill,Solomon Hill,2.5,59,866,.299,.215,3.9,3.6,13.6,9.2,3.2
https://www.boxscoregeeks.com/players/508-shelvin-mack,Shelvin Mack,1.1,52,1058,.145,.037,.8,-1.9,20.3,5.8,8.5
https://www.boxscoregeeks.com/players/2981-shayne-whittington,Shayne Whittington,5.0,7,41,.153,-.059,-.1,-4.9,12.9,14.0,3.5
https://www.boxscoregeeks.com/players/25-shaun-livingston,Shaun Livingston,1.2,78,1520,.268,.162,5.1,2.0,15.4,5.3,7.5
https://www.boxscoregeeks.com/players/1337-shane-larkin,Shane Larkin,1.0,78,1751,.195,.085,3.1,-.4,15.5,4.9,9.4
https://www.boxscoregeeks.com/players/1506-shabazz-napier,Shabazz Napier,1.0,55,600,.082,-.028,-.4,-4.0,16.2,4.4,7.8
https://www.boxscoregeeks.com/players/1446-shabazz-muhammad,Shabazz Muhammad,2.0,82,1682,.164,.080,2.8,-.6,24.6,7.6,1.5
https://www.boxscoregeeks.com/players/1382-seth-curry,Seth Curry,2.0,44,692,.203,.119,1.7,.6,20.7,4.2,4.6
https://www.boxscoregeeks.com/players/1401-sergey-karasev,Sergey Karasev,2.0,40,399,.171,.087,.7,-.4,11.7,7.0,4.2
https://www.boxscoregeeks.com/players/230-serge-ibaka,Serge Ibaka,4.0,78,2500,.237,.025,1.3,-2.3,18.9,10.2,1.3
