NAME_URL,NAME,POS,G,M,AJP48,WP48,WP,POP48,PTS,REB,AST
https://www.boxscoregeeks.com/players/162-zydrunas-ilgauskas,Zydrunas Ilgauskas,5.0,73,2222,.301,.137,6.3,1.2,22.2,14.7,2.2
https://www.boxscoregeeks.com/players/4-zaza-pachulia,Zaza Pachulia,5.0,62,943,.176,.012,.2,-2.7,16.4,12.6,1.8
https://www.boxscoregeeks.com/players/433-zach-randolph,Zach Randolph,4.5,69,2243,.215,.051,2.4,-1.5,26.0,15.2,3.0
https://www.boxscoregeeks.com/players/341-yi-jianlian,Yi Jianlian,4.2,66,1646,.137,-.027,-.9,-3.9,16.5,10.0,1.6
https://www.boxscoregeeks.com/players/417-yao-ming,Yao Ming,5.0,55,2006,.359,.196,8.2,3.0,28.9,14.2,3.1
https://www.boxscoregeeks.com/players/587-yakhouba-diawara,Yakhouba Diawara,2.5,54,542,.105,.031,.3,-2.1,13.6,5.5,3.3
https://www.boxscoregeeks.com/players/67-wilson-chandler,Wilson Chandler,3.0,35,685,.125,.051,.7,-1.5,17.9,8.9,2.3
https://www.boxscoregeeks.com/players/390-willie-green,Willie Green,2.0,74,1970,.052,-.022,-.9,-3.8,22.4,4.4,3.7
https://www.boxscoregeeks.com/players/636-walter-herrmann,Walter Herrmann,3.7,45,373,.177,.037,.3,-1.9,19.7,9.4,2.3
https://www.boxscoregeeks.com/players/631-wally-szczerbiak,Wally Szczerbiak,2.2,75,1736,.119,.044,1.6,-1.7,23.8,6.0,2.9
https://www.boxscoregeeks.com/players/455-von-wafer,Von Wafer,1.8,29,154,-.214,-.288,-.9,-12.0,14.4,5.9,2.2
https://www.boxscoregeeks.com/players/432-vladimir-radmanovic,Vladimir Radmanovic,3.5,65,1483,.212,.093,2.9,-.2,17.6,7.0,4.0
https://www.boxscoregeeks.com/players/261-vince-carter,Vince Carter,1.9,76,2919,.217,.143,8.7,1.4,26.7,7.4,6.4
https://www.boxscoregeeks.com/players/681-viktor-khryapa,Viktor Khryapa,3.0,9,105,.126,.051,.1,-1.5,14.7,9.2,3.7
https://www.boxscoregeeks.com/players/160-udonis-haslem,Udonis Haslem,4.5,49,1805,.227,.064,2.4,-1.1,15.7,11.8,1.8
https://www.boxscoregeeks.com/players/368-tyson-chandler,Tyson Chandler,5.0,79,2783,.432,.269,15.6,5.3,16.0,16.0,1.4
https://www.boxscoregeeks.com/players/28-tyrus-thomas,Tyrus Thomas,4.0,74,1330,.233,.069,1.9,-.9,18.1,12.3,3.2
https://www.boxscoregeeks.com/players/651-tyronn-lue,Tyronn Lue,1.0,50,736,.102,.032,.5,-2.1,18.9,3.5,4.8
https://www.boxscoregeeks.com/players/420-troy-murphy,Troy Murphy,4.7,75,2105,.301,.137,6.0,1.2,20.9,12.4,3.8
https://www.boxscoregeeks.com/players/699-troy-hudson,Troy Hudson,1.0,9,93,-.058,-.128,-.2,-7.1,14.4,3.6,4.6
https://www.boxscoregeeks.com/players/205-trevor-ariza,Trevor Ariza,2.9,35,546,.340,.265,3.0,5.2,16.9,9.5,3.9
https://www.boxscoregeeks.com/players/563-trenton-hassell,Trenton Hassell,2.1,63,755,.074,.001,.0,-3.1,7.8,5.3,2.6
https://www.boxscoregeeks.com/players/198-travis-outlaw,Travis Outlaw,3.8,82,2185,.134,-.015,-.7,-3.5,24.0,8.3,2.3
https://www.boxscoregeeks.com/players/582-travis-diener,Travis Diener,1.0,66,1356,.204,.134,3.8,1.1,16.1,4.1,8.9
https://www.boxscoregeeks.com/players/466-tracy-mcgrady,Tracy McGrady,2.6,66,2401,.143,.068,3.4,-1.0,28.5,6.8,7.7
https://www.boxscoregeeks.com/players/310-tony-parker,Tony Parker,1.0,69,2312,.210,.140,6.8,1.3,26.9,4.6,8.5
https://www.boxscoregeeks.com/players/146-tony-allen,Tony Allen,2.5,75,1372,.141,.066,1.9,-1.0,17.3,5.9,4.0
https://www.boxscoregeeks.com/players/569-tim-thomas,Tim Thomas,3.6,63,1939,.126,-.006,-.2,-3.3,19.3,8.0,4.2
https://www.boxscoregeeks.com/players/303-tim-duncan,Tim Duncan,4.7,78,2650,.401,.237,13.1,4.3,27.3,16.0,3.9
https://www.boxscoregeeks.com/players/620-thomas-gardner,Thomas Gardner,2.5,4,45,-.196,-.271,-.3,-11.5,22.5,4.3,1.1
https://www.boxscoregeeks.com/players/434-theo-ratliff,Theo Ratliff,5.0,26,437,.262,.098,.9,.0,12.2,9.8,1.5
https://www.boxscoregeeks.com/players/259-thaddeus-young,Thaddeus Young,4.0,74,1554,.305,.141,4.6,1.3,18.8,9.6,1.8
