NAME_URL,NAME,POS,G,M,AJP48,WP48,WP,POP48,PTS,REB,AST
https://www.boxscoregeeks.com/players/162-zydrunas-ilgauskas,Zydrunas Ilgauskas,5.0,78,2130,.340,.186,8.2,2.7,27.4,13.3,2.1
https://www.boxscoregeeks.com/players/865-zoran-planinic,Zoran Planinic,2.0,56,566,-.002,-.070,-.8,-5.3,16.2,6.3,4.5
https://www.boxscoregeeks.com/players/819-zendon-hamilton,Zendon Hamilton,5.0,12,48,.247,.092,.1,-.2,25.8,10.9,0
https://www.boxscoregeeks.com/players/841-zeljko-rebraca,Zeljko Rebraca,5.0,29,412,.157,.003,.0,-3.0,15.7,7.5,1.0
https://www.boxscoregeeks.com/players/4-zaza-pachulia,Zaza Pachulia,4.8,78,2253,.257,.103,4.8,.1,19.4,13.1,2.7
https://www.boxscoregeeks.com/players/827-zarko-cabarkapa,Zarko Cabarkapa,4.0,61,456,.059,-.095,-.9,-6.0,20.9,11.7,2.1
https://www.boxscoregeeks.com/players/433-zach-randolph,Zach Randolph,4.3,74,2405,.110,-.044,-2.2,-4.5,26.6,11.8,2.9
https://www.boxscoregeeks.com/players/775-yaroslav-korolev,Yaroslav Korolev,3.5,24,107,.001,-.110,-.2,-6.5,12.1,5.8,4.0
https://www.boxscoregeeks.com/players/417-yao-ming,Yao Ming,5.0,57,1949,.364,.209,8.5,3.4,31.3,14.3,2.1
https://www.boxscoregeeks.com/players/390-willie-green,Willie Green,2.0,10,153,-.066,-.134,-.4,-7.2,22.0,4.7,1.6
https://www.boxscoregeeks.com/players/76-will-bynum,Will Bynum,1.0,15,162,.038,-.032,-.1,-4.1,16.0,3.6,5.6
https://www.boxscoregeeks.com/players/783-wayne-simien,Wayne Simien,4.0,43,381,.172,.018,.1,-2.5,18.4,11.1,.9
https://www.boxscoregeeks.com/players/839-walter-mccarty,Walter McCarty,3.5,36,347,.039,-.072,-.5,-5.3,12.2,9.4,3.2
https://www.boxscoregeeks.com/players/631-wally-szczerbiak,Wally Szczerbiak,2.5,72,2528,.230,.162,8.6,2.0,25.9,5.9,4.0
https://www.boxscoregeeks.com/players/823-voshon-lenard,Voshon Lenard,2.0,26,458,.006,-.062,-.6,-5.0,20.0,4.9,4.3
https://www.boxscoregeeks.com/players/455-von-wafer,Von Wafer,1.0,16,67,-.422,-.491,-.7,-18.3,14.3,5.7,2.9
https://www.boxscoregeeks.com/players/432-vladimir-radmanovic,Vladimir Radmanovic,3.2,77,1777,.201,.112,4.1,.4,20.4,9.7,3.7
https://www.boxscoregeeks.com/players/805-vitaly-potapenko,Vitaly Potapenko,5.0,33,349,.114,-.040,-.3,-4.3,11.5,8.8,1.2
https://www.boxscoregeeks.com/players/261-vince-carter,Vince Carter,2.1,79,2720,.205,.137,7.8,1.2,33.7,8.2,6.0
https://www.boxscoregeeks.com/players/837-vin-baker,Vin Baker,4.5,8,85,.205,.051,.1,-1.5,15.3,10.7,2.3
https://www.boxscoregeeks.com/players/681-viktor-khryapa,Viktor Khryapa,3.5,69,1426,.198,.083,2.5,-.5,13.6,10.3,3.0
https://www.boxscoregeeks.com/players/160-udonis-haslem,Udonis Haslem,4.2,81,2342,.310,.156,7.6,1.8,15.5,13.0,1.9
https://www.boxscoregeeks.com/players/368-tyson-chandler,Tyson Chandler,5.0,79,2057,.415,.261,11.2,5.0,9.7,16.7,1.9
https://www.boxscoregeeks.com/players/651-tyronn-lue,Tyronn Lue,1.0,51,1146,.139,.070,1.7,-.9,23.4,3.4,6.6
https://www.boxscoregeeks.com/players/420-troy-murphy,Troy Murphy,4.5,74,2394,.289,.135,6.7,1.1,20.8,14.9,2.0
https://www.boxscoregeeks.com/players/699-troy-hudson,Troy Hudson,1.0,36,686,.016,-.054,-.8,-4.7,23.9,3.1,7.4
https://www.boxscoregeeks.com/players/205-trevor-ariza,Trevor Ariza,3.0,57,967,.237,.169,3.4,2.2,13.1,10.8,3.0
https://www.boxscoregeeks.com/players/563-trenton-hassell,Trenton Hassell,2.4,77,2317,.121,.053,2.6,-1.4,14.7,4.5,4.2
https://www.boxscoregeeks.com/players/198-travis-outlaw,Travis Outlaw,4.0,69,1090,.147,-.007,-.2,-3.3,17.6,8.3,1.5
https://www.boxscoregeeks.com/players/582-travis-diener,Travis Diener,1.0,23,196,.212,.142,.6,1.3,21.5,5.1,3.9
https://www.boxscoregeeks.com/players/466-tracy-mcgrady,Tracy McGrady,3.0,47,1726,.154,.086,3.1,-.4,31.9,8.5,6.3
https://www.boxscoregeeks.com/players/310-tony-parker,Tony Parker,1.1,80,2537,.238,.168,8.9,2.2,28.6,4.9,8.7
https://www.boxscoregeeks.com/players/826-tony-delk,Tony Delk,1.0,24,385,.157,.088,.7,-.4,22.7,6.6,4.1
https://www.boxscoregeeks.com/players/357-tony-battie,Tony Battie,4.1,82,2079,.232,.078,3.4,-.7,15.0,10.6,1.1
https://www.boxscoregeeks.com/players/146-tony-allen,Tony Allen,2.4,51,894,.157,.089,1.7,-.3,19.8,6.0,3.6
https://www.boxscoregeeks.com/players/860-toni-kukoc,Toni Kukoc,3.5,65,924,.174,.063,1.2,-1.1,16.5,7.8,7.2
https://www.boxscoregeeks.com/players/569-tim-thomas,Tim Thomas,5.0,29,665,.113,-.042,-.6,-4.4,21.7,9.5,1.4
https://www.boxscoregeeks.com/players/303-tim-duncan,Tim Duncan,4.4,80,2595,.375,.221,12.0,3.8,27.5,16.3,4.7
https://www.boxscoregeeks.com/players/434-theo-ratliff,Theo Ratliff,5.0,55,1199,.311,.157,3.9,1.8,10.8,11.2,1.1
https://www.boxscoregeeks.com/players/873-terence-morris,Terence Morris,3.0,22,188,.071,.003,.0,-3.0,8.9,9.7,1.0
https://www.boxscoregeeks.com/players/429-tayshaun-prince,Tayshaun Prince,3.0,82,2715,.187,.120,6.8,.6,20.4,6.1,3.3
https://www.boxscoregeeks.com/players/502-t-j-ford,T.J. Ford,1.0,72,2322,.160,.090,4.4,-.3,18.2,6.4,9.8
https://www.boxscoregeeks.com/players/655-stromile-swift,Stromile Swift,4.0,66,1307,.190,.036,1.0,-2.0,21.5,10.7,.9
https://www.boxscoregeeks.com/players/597-steven-hunter,Steven Hunter,4.6,69,1272,.278,.123,3.3,.8,15.9,10.2,.6
https://www.boxscoregeeks.com/players/269-steve-nash,Steve Nash,1.0,79,2628,.389,.319,17.5,6.9,27.2,6.1,15.1
https://www.boxscoregeeks.com/players/703-steve-francis,Steve Francis,1.1,70,2288,.152,.082,3.9,-.5,21.1,6.1,7.2
https://www.boxscoregeeks.com/players/135-steve-blake,Steve Blake,1.5,68,1673,.202,.134,4.7,1.1,16.1,4.2,8.8
https://www.boxscoregeeks.com/players/621-stephon-marbury,Stephon Marbury,1.0,60,1955,.160,.090,3.7,-.3,24.0,4.3,9.4
https://www.boxscoregeeks.com/players/24-stephen-jackson,Stephen Jackson,2.5,81,2697,.106,.038,2.2,-1.9,23.7,5.6,4.0
https://www.boxscoregeeks.com/players/194-stephen-graham,Stephen Graham,2.3,22,175,-.001,-.069,-.3,-5.2,15.9,7.4,1.9
https://www.boxscoregeeks.com/players/751-stanislav-medvedenko,Stanislav Medvedenko,5.0,2,6,.026,-.129,.0,-7.1,15.4,0,7.7
https://www.boxscoregeeks.com/players/871-stacey-augmon,Stacey Augmon,3.0,36,357,.136,.068,.5,-1.0,9.6,7.1,3.1
https://www.boxscoregeeks.com/players/619-speedy-claxton,Speedy Claxton,1.0,71,1863,.140,.070,2.7,-.9,22.4,5.0,8.7
https://www.boxscoregeeks.com/players/714-smush-parker,Smush Parker,1.0,82,2562,.211,.141,7.5,1.3,17.6,5.1,5.7
https://www.boxscoregeeks.com/players/62-shawn-marion,Shawn Marion,3.7,81,3075,.434,.305,19.5,6.4,27.6,15.0,2.2
https://www.boxscoregeeks.com/players/584-shavlik-randolph,Shavlik Randolph,4.0,57,473,.268,.114,1.1,.5,13.3,13.5,1.9
https://www.boxscoregeeks.com/players/25-shaun-livingston,Shaun Livingston,1.2,61,1415,.148,.079,2.3,-.6,11.9,6.2,9.3
https://www.boxscoregeeks.com/players/877-sharrod-ford,Sharrod Ford,4.0,3,13,-.164,-.318,-.1,-13.0,14.8,11.1,0
https://www.boxscoregeeks.com/players/739-shareef-abdur-rahim,Shareef Abdur-Rahim,4.4,72,1961,.256,.101,4.1,.1,21.7,8.7,3.6
https://www.boxscoregeeks.com/players/565-shaquille-o-neal,Shaquille O'Neal,5.0,59,1662,.350,.196,6.8,3.0,34.1,15.6,3.3
https://www.boxscoregeeks.com/players/358-shane-battier,Shane Battier,3.4,81,2669,.325,.225,12.5,3.9,14.7,7.7,2.4
https://www.boxscoregeeks.com/players/854-shandon-anderson,Shandon Anderson,2.5,48,630,.101,.033,.4,-2.1,9.6,6.2,2.3
https://www.boxscoregeeks.com/players/879-sergei-monia,Sergei Monia,3.0,26,343,.044,-.024,-.2,-3.8,10.8,7.3,2.7
https://www.boxscoregeeks.com/players/449-sebastian-telfair,Sebastian Telfair,1.0,68,1562,.053,-.016,-.5,-3.6,19.8,3.7,7.6
https://www.boxscoregeeks.com/players/555-sean-may,Sean May,4.0,23,398,.155,.001,.0,-3.1,22.8,13.1,2.7
https://www.boxscoregeeks.com/players/408-sean-marks,Sean Marks,4.0,25,181,.282,.128,.5,.9,21.5,11.4,1.9
https://www.boxscoregeeks.com/players/769-scott-padgett,Scott Padgett,4.0,62,635,.292,.138,1.8,1.2,15.9,12.5,3.1
https://www.boxscoregeeks.com/players/695-scot-pollard,Scot Pollard,5.0,45,757,.340,.186,2.9,2.7,10.7,13.8,1.5
https://www.boxscoregeeks.com/players/454-sasha-vujacic,Sasha Vujacic,2.0,82,1335,.145,.077,2.1,-.7,11.5,5.7,5.0
https://www.boxscoregeeks.com/players/425-sasha-pavlovic,Sasha Pavlovic,2.4,53,806,.043,-.025,-.4,-3.9,14.3,4.8,1.5
https://www.boxscoregeeks.com/players/765-sarunas-jasikevicius,Sarunas Jasikevicius,1.6,75,1406,.189,.121,3.5,.7,18.7,5.2,7.7
https://www.boxscoregeeks.com/players/374-samuel-dalembert,Samuel Dalembert,5.0,66,1615,.341,.186,6.3,2.7,14.4,16.1,.7
https://www.boxscoregeeks.com/players/836-samaki-walker,Samaki Walker,4.0,7,22,-.184,-.338,-.2,-13.6,4.4,6.6,0
https://www.boxscoregeeks.com/players/694-sam-cassell,Sam Cassell,1.0,78,2518,.186,.117,6.1,.5,25.6,5.5,9.4
