PLAYER,POS,AGILITY,SHUTTLE_RUN,THREE_QUARTER_SPRINT,STANDING_VERITCAL,MAX_VERTICAL,BENCH_PRESS
Ron Baker,SG,10.77,2.96,3.45,30.0,35.5,-
Wade Baldwin IV,PG,10.45,3.01,3.19,32.5,38.0,-
Cat Barber,PG,-,-,-,-,-,-
Malik Beasley,SG,-,0.00,-,-,-,-
DeAndre Bembry,SG-SF,10.90,2.87,3.17,32.0,38.0,-
Ben Bentil,PF,11.16,3.10,3.30,29.0,33.0,-
Jaron Blossomgame,SF,11.53,3.26,3.20,35.0,41.0,-
Joel Bolomboy,PF,10.26,2.86,3.17,37.5,40.5,-
Malcolm Brogdon,SG,10.77,2.64,3.31,30.5,35.5,-
Jaylen Brown,SG-SF,-,-,-,-,-,-
Marquese Chriss,PF,11.93,3.05,3.26,32.5,38.5,-
Elgin Cook,SF,-,-,-,-,-,-
Isaiah Cousins,PG,10.79,2.97,3.24,30.5,37.0,-
Deyonta Davis,PF,-,-,-,-,-,-
Cheick Diallo,PF,11.24,3.30,3.26,31.0,35.0,-
Kris Dunn,PG,-,-,-,-,-,-
Henry Ellenson,PF,-,-,-,-,-,-
Perry Ellis,PF,10.73,3.03,3.13,32.0,38.0,-
Kay Felder,PG,11.52,2.90,3.15,35.5,44.0,-
Dorian Finney-Smith,SF,11.01,3.04,3.27,32.5,35.5,-
Michael Gbinije,SG,11.00,3.19,3.12,33.5,37.5,-
Daniel Hamilton,SG-SF,11.48,3.20,3.40,26.0,29.0,-
Josh Hart,SG,11.15,3.15,3.20,29.5,38.5,-
Nigel Hayes,SF-PF,12.11,2.90,3.20,25.5,28.5,-
Buddy Hield,SG,-,-,-,-,-,-
Justin Jackson,SF,11.32,2.96,3.26,29.5,34.5,-
Demetrius Jackson,PG,10.81,2.87,3.25,37.5,43.5,-
Brice Johnson,PF,11.88,2.94,3.20,33.5,38.0,-
Damian Jones,C,11.35,3.12,3.20,36.0,37.0,-
Skal Labissiere,PF-C,-,-,-,-,-,-
Jake Layman,SF,11.35,2.82,3.24,33.0,39.5,-
Caris LeVert,SG,-,-,-,-,-,-
Marcus Lee,PF-C,11.68,3.19,3.25,28.5,35.5,-
Thon Maker,PF,11.15,3.09,3.33,32.0,36.5,-
Patrick McCaw,PG-SG,11.01,2.97,3.30,30.0,38.0,-
Malik Newman,SG,10.88,3.11,3.28,30.0,35.5,-
Georges Niang,PF,11.64,3.17,3.49,25.0,31.0,-
Chinanu Onuaku,C,11.65,3.00,3.50,27.5,33.5,-
Marcus Paige,PG,10.82,2.69,3.15,33.5,39.5,-
Gary Payton II,PG,11.57,3.17,3.23,31.5,38.5,-
Jakob Poeltl,C,-,-,-,-,-,-
Taurean Prince,SF,10.96,2.80,3.24,34.0,36.0,-
Zhou Qi,PF-C,11.27,2.90,3.46,31.5,32.0,-
Malachi Richardson,SG-SF,10.56,3.25,3.33,33.0,38.0,-
Wayne Selden,SG,-,-,-,-,-,-
Pascal Siakam,PF,11.25,3.09,3.41,30.5,36.5,-
Diamond Stone,C,12.02,3.22,3.50,27.0,29.5,-
Caleb Swanigan,PF,12.80,-,-,26.0,29.0,-
Melo Trimble,PG,10.57,2.77,3.20,26.5,35.5,-
Tyler Ulis,PG,10.80,2.88,3.20,32.5,38.0,-
Jarrod Uthoff,PF,11.52,3.03,3.50,29.0,34.5,-
Denzel Valentine,SG-SF,10.51,3.22,3.46,27.0,32.0,-
Isaiah Whitehead,PG-SG,11.65,3.21,3.34,27.5,35.5,-
Troy Williams,SF,10.72,3.08,3.35,30.0,36.0,-
Kyle Wiltjer,PF,11.35,3.04,3.48,28.5,35.5,-
Stephen Zimmerman,C,12.08,3.16,3.43,26.0,31.0,-
