PLAYER,POS,AGILITY,SHUTTLE_RUN,THREE_QUARTER_SPRINT,STANDING_VERITCAL,MAX_VERTICAL,BENCH_PRESS
Solomon Alabi,C,13.20,-,3.68,22.5,26.0,10
Cole Aldrich,C,11.48,-,3.35,23.0,28.0,10
Al-Farouq Aminu,SF,11.29,-,3.30,27.0,33.5,13
James Anderson,SF,11.86,-,3.19,30.0,35.5,14
Luke Babbitt,SF-PF,10.98,-,3.40,29.5,37.5,15
Eric Bledsoe,PG,-,-,-,-,-,9
Trevor Booker,PF,11.15,-,3.10,31.0,36.0,22
Craig Brackins,PF-SF,11.65,-,3.39,26.0,35.0,6
Avery Bradley,SG-PG,11.47,-,3.14,31.5,37.5,2
Derrick Caracter,PF,12.78,-,3.61,25.0,30.5,22
Sherron Collins,PG,12.31,-,3.24,27.5,33.0,-
DeMarcus Cousins,C,11.40,-,3.55,23.5,27.5,-
Jordan Crawford,SG,11.03,-,3.37,31.5,34.5,7
Ed Davis,PF,11.70,-,3.21,31.0,36.0,-
Devin Ebanks,SF,11.69,-,3.44,23.5,32.0,6
Derrick Favors,PF,11.74,-,3.25,31.5,35.5,14
Keith Gallon,PF-C,13.44,-,3.70,23.5,28.5,14
Charles Garcia,SF,11.65,-,3.23,24.5,30.5,2
Paul George,SF,-,-,-,-,-,4
Luke Harangody,PF,11.83,-,3.41,24.0,28.5,23
Manny Harris,SG,-,-,-,-,-,11
Gordon Hayward,SF,11.73,-,3.22,30.5,34.5,10
Lazar Hayward,SG-SF,10.87,-,3.31,31.0,36.0,15
Xavier Henry,SG,11.10,-,3.18,28.5,36.5,8
Darington Hobson,SG-SF,11.68,-,3.25,29.0,34.0,-
Damion James,SF,10.89,-,3.20,29.0,33.0,13
Armon Johnson,PG-SG,11.25,-,3.19,31.5,38.5,18
Wesley Johnson,SF,11.43,-,3.14,32.0,37.0,16
Dominique Jones,SG,10.88,-,3.31,26.0,32.5,19
Jerome Jordan,C,-,-,-,-,-,-
Sylven Landesberg,SG,11.59,-,3.36,28.0,32.0,8
Gani Lawal,PF,11.61,-,3.24,27.0,31.5,20
Greg Monroe,PF-C,12.10,-,3.35,25.0,29.0,15
Daniel Orton,C,12.32,-,3.39,24.0,30.5,13
Artsiom Parakhouski,C,12.07,-,3.33,25.5,26.5,16
Patrick Patterson,PF,11.14,-,3.25,28.5,33.5,17
Dexter Pittman,PF-C,-,-,-,-,-,-
Andy Rautins,SG,11.27,-,3.49,23.5,30.5,8
Ryan Richards,PF,11.33,-,3.37,25.0,28.5,4
Stanley Robinson,SF,11.65,-,3.23,-,37.5,6
Larry Sanders,PF-C,12.49,-,3.27,25.5,28.0,7
Jon Scheyer,PG-SG,-,-,-,-,-,-
Lance Stephenson,SG,11.39,-,3.38,27.0,33.0,10
Mikhail Torrance,PG,11.43,-,3.17,23.0,32.0,8
Evan Turner,SG,11.06,-,3.27,27.5,34.5,9
Ekpe Udoh,PF,11.15,-,3.29,31.0,33.5,10
Jarvis Varnado,PF-C,11.61,-,3.37,29.5,32.5,3
Greivis Vasquez,PG-SG,-,-,-,-,-,-
John Wall,PG,10.84,-,3.14,30.0,39.0,-
Willie Warren,SG-PG,11.21,-,3.50,23.0,31.5,10
Terrico White,SG-PG,11.38,-,3.15,31.0,40.0,10
Hassan Whiteside,C-PF,11.83,-,3.54,27.0,31.5,12
