PLAYER,POS,AGILITY,SHUTTLE_RUN,THREE_QUARTER_SPRINT,STANDING_VERITCAL,MAX_VERTICAL,BENCH_PRESS
Jeff Adrien,PF,11.34,-,3.32,27.5,31.5,16
Jeff Ayres,PF,11.98,-,3.14,31.0,35.0,15
Rodrigue Beaubois,PG,10.49,-,3.15,29.5,39.0,3
DeJuan Blair,PF,11.50,-,3.45,26.0,33.0,18
Derrick Brown,SF-PF,11.26,-,3.13,30.5,35.5,20
Chase Budinger,SF-SG,11.08,-,3.24,29.5,38.5,10
DeMarre Carroll,PF-SF,-,-,-,-,-,-
Omri Casspi,SF,11.15,-,3.28,25.5,32.5,2
Dionte Christmas,SG,10.83,-,3.21,27.0,33.5,3
Earl Clark,SF-PF,11.17,-,3.35,28.5,33.0,5
Darren Collison,PG,10.45,-,3.10,30.5,33.5,9
Dante Cunningham,PF,11.18,-,3.26,28.0,35.0,18
Stephen Curry,PG-SG,11.07,-,3.28,29.5,35.5,10
Austin Daye,SF-PF,12.11,-,3.55,25.0,28.0,0
DeMar DeRozan,SG-SF,11.88,-,3.31,29.0,38.5,5
Toney Douglas,PG,10.63,-,3.03,28.0,32.5,15
Wayne Ellington,SG,11.14,-,3.20,31.5,38.0,13
Tyreke Evans,PG-SG,11.81,-,3.17,28.5,34.0,7
Jonny Flynn,PG,10.86,-,3.23,33.0,40.0,10
Taj Gibson,PF,11.56,-,3.41,25.5,30.0,12
Danny Green,SG-SF,11.30,-,3.30,29.0,33.0,15
Blake Griffin,PF,10.95,-,3.28,32.0,35.5,22
Tyler Hansbrough,PF,11.12,-,3.27,27.5,34.0,18
James Harden,SG,11.10,-,3.13,31.5,37.0,17
Gerald Henderson,SG-SF,11.17,-,3.14,31.5,35.0,8
Josh Heytvelt,PF-C,11.67,-,3.38,28.5,34.0,15
Jordan Hill,PF-C,12.23,-,3.30,31.0,35.0,11
Jrue Holiday,PG-SG,10.64,-,3.21,28.5,34.0,6
Joe Ingles,SF,10.66,-,3.30,26.0,31.0,3
James Johnson,SF-PF,11.21,-,3.23,30.5,35.0,18
Ty Lawson,PG,10.98,-,3.12,29.0,36.5,14
Eric Maynor,PG,10.78,-,3.19,28.5,31.5,8
Jack McClinton,SG-PG,10.44,-,3.21,30.0,36.5,13
Jerel McNeal,SG,10.61,-,3.25,31.5,36.5,10
Jodie Meeks,SG,10.96,-,3.10,28.5,37.0,14
Patty Mills,PG,10.87,-,3.10,27.5,33.0,8
Byron Mullens,C,11.10,-,3.45,28.5,32.5,10
A.J. Price,PG,10.99,-,3.22,26.0,31.0,11
Tyler Smith,SF,10.69,-,3.24,29.0,33.5,10
DaJuan Summers,SF,10.94,-,3.17,29.5,34.5,15
Jermaine Taylor,SG,11.54,-,3.32,34.0,37.5,16
Jeff Teague,PG,11.05,-,3.18,30.5,36.5,13
Hasheem Thabeet,C,-,-,-,-,-,-
Marcus Thornton,SG,10.73,-,3.28,31.0,33.0,14
Terrence Williams,SG-SF,11.15,-,3.18,30.5,37.0,9
Sam Young,SF-SG,11.47,-,3.45,27.5,33.0,-
