Text1,Text,Root
Karl-Anthony Towns,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2015-16,20,MIN,NBA,C,82,2627,22.5,.590,.076,.239,10.3,27.5,19.0,11.3,1.1,4.3,12.6,24.9,,5.5,2.8,8.3,.151,,2.5,-0.4,2.2,2.7
2016-17,21,MIN,NBA,C,82,3030,25.9,.618,.186,.289,11.2,27.8,19.4,13.2,0.9,2.9,11.3,27.5,,9.9,2.8,12.7,.201,,5.5,-0.7,4.7,5.2
2017-18,22,MIN,NBA,C,82,2918,24.9,.646,.243,.343,9.3,30.9,20.0,10.8,1.1,3.5,10.5,22.9,,10.6,3.4,14.0,.230,,4.9,0.2,5.1,5.2
2018-19,23,MIN,NBA,C,77,2545,26.3,.622,.270,.342,10.9,29.3,20.0,17.2,1.3,4.2,13.7,28.9,,7.2,3.2,10.4,.197,,5.4,0.6,6.0,5.1
2019-20,24,MIN,NBA,C,35,1187,26.5,.642,.445,.363,8.1,26.1,16.8,22.8,1.3,2.9,13.2,28.8,,3.7,1.3,5.1,.204,,7.0,0.8,7.8,2.9
Career,,,NBA,,358,12307,25.1,.622,.223,.310,10.2,28.6,19.3,14.0,1.1,3.6,12.2,26.3,,36.8,13.6,50.4,.197,,4.8,0.0,4.8,21.1",undefined
D'Angelo Russell,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2015-16,19,LAL,NBA,PG,80,2259,13.2,.507,.387,.199,2.2,11.2,6.5,21.2,2.1,0.5,15.9,24.1,,-0.7,0.7,0.0,.001,,-0.7,-1.6,-2.3,-0.1
2016-17,20,LAL,NBA,PG,63,1811,15.3,.518,.443,.217,1.8,11.9,6.7,26.8,2.3,0.7,15.6,26.6,,0.3,1.0,1.3,.033,,0.7,-1.5,-0.8,0.6
2017-18,21,BRK,NBA,PG,48,1234,15.2,.509,.414,.195,2.6,13.8,8.1,35.7,1.4,1.0,16.8,30.8,,-0.5,0.9,0.4,.014,,0.8,-2.0,-1.2,0.3
2018-19,22,BRK,NBA,PG,81,2448,19.4,.533,.419,.135,2.3,11.2,6.8,41.3,1.9,0.6,13.6,31.9,,2.4,2.6,5.0,.097,,4.0,-0.6,3.4,3.4
2019-20,23,TOT,NBA,PG,45,1452,18.7,.556,.509,.235,1.2,12.3,6.6,35.2,1.6,0.8,13.6,31.5,,1.1,0.7,1.8,.060,,3.8,-1.9,1.9,1.4
2019-20,23,GSW,NBA,PG,33,1060,19.1,.558,.506,.227,1.4,11.4,6.2,36.0,1.4,0.8,12.6,32.2,,0.9,0.4,1.3,.058,,4.5,-1.9,2.6,1.2
2019-20,23,MIN,NBA,PG,12,392,17.6,.553,.521,.261,0.8,14.5,7.4,33.1,2.0,0.8,16.4,29.5,,0.2,0.3,0.5,.064,,1.8,-1.7,0.1,0.2
Career,,,NBA,,317,9204,16.4,.526,.432,.188,2.0,11.9,6.8,31.8,1.9,0.7,14.9,28.7,,2.5,5.9,8.4,.044,,1.7,-1.4,0.3,5.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,LAL,NBA,,143,4070,14.1,.512,.414,.207,2.0,11.5,6.6,23.7,2.2,0.6,15.8,25.2,,-0.4,1.7,1.3,.015,,-0.1,-1.5,-1.6,0.4
2 seasons,,BRK,NBA,,129,3682,18.0,.525,.417,.153,2.4,12.1,7.2,39.4,1.8,0.8,14.6,31.5,,1.8,3.5,5.3,.069,,2.9,-1.0,1.9,3.6
1 season,,GSW,NBA,,33,1060,19.1,.558,.506,.227,1.4,11.4,6.2,36.0,1.4,0.8,12.6,32.2,,0.9,0.4,1.3,.058,,4.5,-1.9,2.6,1.2
1 season,,MIN,NBA,,12,392,17.6,.553,.521,.261,0.8,14.5,7.4,33.1,2.0,0.8,16.4,29.5,,0.2,0.3,0.5,.064,,1.8,-1.7,0.1,0.2",undefined
Jahlil Okafor,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2015-16,20,PHI,NBA,C,53,1591,17.1,.536,.008,.248,8.1,17.8,12.8,8.2,0.7,2.9,12.5,27.3,,0.3,0.9,1.2,.037,,-0.5,-1.8,-2.3,-0.1
2016-17,21,PHI,NBA,C,50,1134,14.8,.546,.000,.335,7.8,15.5,11.7,9.0,0.9,3.4,14.4,24.1,,0.1,1.1,1.2,.050,,-1.9,-0.6,-2.5,-0.1
2017-18,22,TOT,NBA,C,28,353,15.3,.584,.029,.210,6.3,19.4,12.8,5.9,0.4,3.9,12.2,21.0,,0.3,0.3,0.6,.083,,-1.8,0.0,-1.7,0.0
2017-18,22,PHI,NBA,C,2,25,8.8,.465,.000,.444,17.9,20.7,19.4,5.8,0.0,6.7,21.8,23.5,,0.0,0.0,0.0,.005,,-6.4,0.1,-6.3,0.0
2017-18,22,BRK,NBA,C,26,328,15.8,.593,.031,.194,5.5,19.3,12.3,5.9,0.4,3.6,11.4,20.9,,0.3,0.3,0.6,.089,,-1.4,0.0,-1.4,0.0
2018-19,23,NOP,NBA,C,59,935,17.9,.603,.014,.246,9.2,21.4,15.4,6.3,0.7,3.5,11.5,19.9,,1.4,0.8,2.2,.115,,-0.6,-0.9,-1.5,0.1
2019-20,24,NOP,NBA,C,30,467,18.3,.642,.019,.383,10.9,18.0,14.4,12.0,0.7,3.9,16.7,19.9,,0.9,0.4,1.3,.133,,-0.5,0.3,-0.2,0.2
Career,,,NBA,,220,4480,16.7,.564,.009,.278,8.4,18.1,13.2,8.2,0.7,3.3,13.2,23.7,,3.0,3.6,6.6,.070,,-1.0,-1.0,-1.9,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,PHI,NBA,,105,2750,16.1,.539,.005,.282,8.1,16.8,12.4,8.5,0.7,3.2,13.3,25.9,,0.4,2.0,2.4,.042,,-1.1,-1.3,-2.5,-0.3
2 seasons,,NOP,NBA,,89,1402,18.1,.616,.015,.288,9.8,20.3,15.1,8.2,0.7,3.6,13.2,19.9,,2.3,1.3,3.5,.121,,-0.6,-0.5,-1.1,0.3
1 season,,BRK,NBA,,26,328,15.8,.593,.031,.194,5.5,19.3,12.3,5.9,0.4,3.6,11.4,20.9,,0.3,0.3,0.6,.089,,-1.4,0.0,-1.4,0.0",undefined
Kristaps Porziņģis,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2015-16,20,NYK,NBA,PF,72,2047,17.7,.518,.274,.271,7.1,20.7,14.0,7.9,1.3,5.0,10.9,24.6,,1.5,2.9,4.4,.102,,0.6,0.3,0.9,1.5
2016-17,21,NYK,NBA,PF,66,2164,17.4,.546,.319,.256,5.5,18.2,11.8,7.3,1.1,4.9,9.7,24.3,,2.4,2.1,4.5,.100,,0.7,-0.3,0.3,1.3
2017-18,22,NYK,NBA,PF,48,1553,20.4,.539,.256,.309,4.4,18.1,11.3,6.2,1.1,6.4,8.4,31.0,,1.4,1.8,3.2,.099,,1.9,-0.1,1.8,1.5
2019-20,24,DAL,NBA,C,57,1814,20.2,.551,.432,.304,5.9,25.1,15.6,8.8,1.1,5.4,8.0,27.0,,2.6,2.6,5.2,.138,,1.8,0.1,1.9,1.8
Career,,,NBA,,243,7578,18.8,.539,.322,.284,5.8,20.5,13.2,7.6,1.2,5.4,9.3,26.4,,7.8,9.4,17.3,.109,,1.2,0.0,1.2,6.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,NYK,NBA,,186,5764,18.3,.535,.284,.278,5.8,19.1,12.5,7.2,1.2,5.3,9.7,26.2,,5.3,6.8,12.1,.100,,1.0,-0.1,0.9,4.2
1 season,,DAL,NBA,,57,1814,20.2,.551,.432,.304,5.9,25.1,15.6,8.8,1.1,5.4,8.0,27.0,,2.6,2.6,5.2,.138,,1.8,0.1,1.9,1.8",undefined
Mario Hezonja,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2015-16,20,ORL,NBA,SF,79,1413,9.4,.541,.459,.129,2.2,11.8,6.9,11.2,1.4,1.0,18.0,16.9,,-0.1,1.0,0.9,.029,,-2.4,-0.7,-3.1,-0.4
2016-17,21,ORL,NBA,SF,65,960,7.2,.450,.436,.152,2.2,14.7,8.3,9.6,1.5,1.3,14.1,18.8,,-1.4,0.8,-0.7,-0.033,,-4.1,-0.9,-5.0,-0.7
2017-18,22,ORL,NBA,SF,75,1657,13.7,.544,.433,.170,2.7,16.1,9.3,10.0,2.4,1.5,11.5,19.9,,0.5,1.8,2.3,.066,,-0.9,0.4,-0.5,0.6
2018-19,23,NYK,NBA,SF,58,1206,10.8,.497,.328,.246,2.4,18.7,10.4,11.5,2.3,0.6,14.6,21.3,,-1.1,1.1,-0.1,-0.003,,-3.5,-0.3,-3.8,-0.5
2019-20,24,POR,NBA,PF,53,871,9.5,.525,.358,.271,3.6,18.3,11.0,7.5,2.0,0.9,14.7,13.9,,0.1,0.6,0.8,.043,,-3.1,0.2,-2.9,-0.2
Career,,,NBA,,330,6107,10.5,.516,.407,.187,2.6,15.7,9.1,10.2,1.9,1.1,14.3,18.5,,-2.1,5.2,3.2,.025,,-2.6,-0.2,-2.8,-1.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,ORL,NBA,,219,4030,10.7,.521,.442,.153,2.4,14.2,8.2,10.3,1.8,1.3,14.2,18.6,,-1.1,3.5,2.5,.029,,-2.2,-0.3,-2.5,-0.5
1 season,,NYK,NBA,,58,1206,10.8,.497,.328,.246,2.4,18.7,10.4,11.5,2.3,0.6,14.6,21.3,,-1.1,1.1,-0.1,-0.003,,-3.5,-0.3,-3.8,-0.5
1 season,,POR,NBA,,53,871,9.5,.525,.358,.271,3.6,18.3,11.0,7.5,2.0,0.9,14.7,13.9,,0.1,0.6,0.8,.043,,-3.1,0.2,-2.9,-0.2",undefined
Willie Cauley-Stein,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2015-16,22,SAC,NBA,C,66,1412,15.3,.588,.006,.369,10.3,16.6,13.5,3.8,1.6,3.8,10.5,13.2,,2.4,1.4,3.8,.130,,-0.8,0.1,-0.8,0.4
2016-17,23,SAC,NBA,C,75,1421,16.3,.558,.004,.314,7.0,20.4,13.8,9.4,1.9,2.8,11.2,19.7,,1.4,1.5,2.9,.100,,-1.2,0.2,-1.0,0.3
2017-18,24,SAC,NBA,C,73,2044,17.6,.529,.016,.320,7.0,22.0,14.2,13.7,1.9,3.1,11.0,21.8,,1.7,2.2,3.9,.092,,-0.4,0.3,-0.1,1.0
2018-19,25,SAC,NBA,C,81,2213,18.0,.566,.003,.343,8.2,23.7,15.8,12.3,2.0,2.0,9.0,17.5,,3.8,2.9,6.7,.146,,0.2,1.1,1.2,1.8
2019-20,26,TOT,NBA,C,54,1097,17.0,.589,.003,.219,8.0,23.3,15.5,9.9,2.1,5.0,10.8,14.4,,1.5,1.5,2.9,.128,,-1.2,1.7,0.5,0.7
2019-20,26,GSW,NBA,C,41,940,16.2,.573,.000,.222,7.9,22.0,14.7,9.9,2.3,4.8,11.0,14.4,,1.0,1.2,2.2,.113,,-1.6,1.6,0.0,0.5
2019-20,26,DAL,NBA,C,13,157,22.2,.684,.022,.200,8.8,31.0,20.1,9.6,1.2,6.0,9.3,14.7,,0.5,0.3,0.7,.222,,0.9,2.2,3.1,0.2
Career,,,NBA,,349,8187,17.0,.559,.007,.320,8.0,21.4,14.6,10.3,1.9,3.1,10.4,17.8,,10.9,9.5,20.3,.119,,-0.6,0.6,0.1,4.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,SAC,NBA,,295,7090,17.0,.555,.008,.333,8.0,21.2,14.5,10.4,1.9,2.8,10.3,18.3,,9.4,8.0,17.4,.118,,-0.5,0.5,0.0,3.6
1 season,,GSW,NBA,,41,940,16.2,.573,.000,.222,7.9,22.0,14.7,9.9,2.3,4.8,11.0,14.4,,1.0,1.2,2.2,.113,,-1.6,1.6,0.0,0.5
1 season,,DAL,NBA,,13,157,22.2,.684,.022,.200,8.8,31.0,20.1,9.6,1.2,6.0,9.3,14.7,,0.5,0.3,0.7,.222,,0.9,2.2,3.1,0.2",undefined
Emmanuel Mudiay,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2015-16,19,DEN,NBA,PG,68,2068,9.9,.437,.256,.231,1.7,10.9,6.2,29.0,1.6,1.4,17.9,25.7,,-3.3,1.2,-2.1,-0.049,,-2.3,-1.9,-4.2,-1.2
2016-17,20,DEN,NBA,PG,55,1406,10.9,.483,.323,.303,2.3,11.6,7.0,21.8,1.4,0.7,16.5,22.6,,-0.4,0.5,0.2,.006,,-1.6,-1.6,-3.2,-0.4
2017-18,21,TOT,NBA,PG,64,1245,11.5,.474,.281,.245,2.3,11.3,6.8,24.5,1.6,0.8,16.2,24.4,,-0.8,0.7,0.0,-0.002,,-2.1,-1.8,-3.9,-0.6
2017-18,21,DEN,NBA,PG,42,752,12.3,.504,.317,.242,2.4,11.6,7.0,24.1,1.4,0.4,16.8,24.8,,0.0,0.3,0.3,.019,,-1.4,-2.1,-3.5,-0.3
2017-18,21,NYK,NBA,PG,22,493,10.2,.428,.225,.250,2.3,10.8,6.5,25.0,2.0,1.2,15.3,23.7,,-0.7,0.4,-0.3,-0.034,,-3.3,-1.4,-4.6,-0.3
2018-19,22,NYK,NBA,PG,59,1607,14.6,.531,.284,.251,2.1,10.9,6.4,24.2,1.3,1.0,14.6,25.6,,0.1,0.7,0.8,.023,,-0.2,-1.8,-2.0,0.0
2019-20,23,UTA,NBA,PG,54,850,13.0,.543,.266,.254,2.4,13.5,8.2,20.9,1.4,1.0,17.3,22.6,,0.1,0.9,1.0,.057,,-1.8,-0.1,-1.9,0.0
Career,,,NBA,,300,7176,11.8,.486,.280,.254,2.1,11.4,6.7,24.8,1.5,1.0,16.5,24.5,,-4.2,4.0,-0.2,-0.001,,-1.6,-1.6,-3.2,-2.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,DEN,NBA,,165,4226,10.7,.464,.288,.255,2.0,11.3,6.6,25.7,1.5,1.0,17.2,24.5,,-3.7,2.1,-1.6,-0.019,,-1.9,-1.9,-3.8,-1.9
2 seasons,,NYK,NBA,,81,2100,13.5,.509,.271,.251,2.1,10.8,6.4,24.4,1.5,1.1,14.7,25.1,,-0.6,1.0,0.4,.010,,-0.9,-1.7,-2.6,-0.3
1 season,,UTA,NBA,,54,850,13.0,.543,.266,.254,2.4,13.5,8.2,20.9,1.4,1.0,17.3,22.6,,0.1,0.9,1.0,.057,,-1.8,-0.1,-1.9,0.0",undefined
Stanley Johnson,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2015-16,19,DET,NBA,SF,73,1687,8.7,.460,.342,.170,3.6,16.7,9.9,10.8,1.6,0.5,15.0,19.6,,-1.3,1.9,0.6,.018,,-3.5,0.2,-3.3,-0.5
2016-17,20,DET,NBA,SF,77,1371,7.2,.436,.422,.145,2.8,12.7,7.5,10.5,2.1,1.5,15.5,14.8,,-1.4,1.8,0.4,.012,,-4.4,1.4,-3.0,-0.3
2017-18,21,DET,NBA,SF,69,1894,9.0,.480,.418,.259,1.9,13.0,7.3,8.5,2.5,0.7,11.0,16.4,,-0.6,2.4,1.8,.046,,-4.0,1.1,-2.9,-0.4
2018-19,22,TOT,NBA,SF,66,1208,9.6,.485,.489,.145,3.0,16.9,9.7,10.6,2.4,1.0,14.7,19.4,,-1.1,1.6,0.5,.021,,-3.1,0.9,-2.2,0.0
2018-19,22,DET,NBA,SF,48,961,9.8,.482,.519,.146,2.7,17.7,9.9,9.4,2.5,1.1,12.9,19.1,,-0.7,1.4,0.7,.034,,-2.9,1.3,-1.6,0.1
2018-19,22,NOP,NBA,SF,18,247,8.9,.496,.374,.143,3.8,13.7,8.8,15.1,2.3,0.3,21.2,20.4,,-0.3,0.2,-0.1,-0.028,,-3.9,-0.5,-4.5,-0.2
2019-20,23,TOR,NBA,PF,25,150,9.9,.454,.407,.271,5.0,20.6,13.0,19.4,1.9,2.6,18.5,23.1,,-0.3,0.3,0.0,.014,,-3.9,1.4,-2.6,0.0
Career,,,NBA,,310,6310,8.7,.467,.411,.188,2.8,14.8,8.7,10.2,2.1,0.9,14.0,17.6,,-4.6,8.0,3.4,.026,,-3.8,0.9,-2.9,-1.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,DET,NBA,,267,5913,8.6,.466,.413,.187,2.7,14.8,8.5,9.7,2.1,0.9,13.5,17.4,,-4.0,7.5,3.5,.028,,-3.8,1.0,-2.8,-1.2
1 season,,TOR,NBA,,25,150,9.9,.454,.407,.271,5.0,20.6,13.0,19.4,1.9,2.6,18.5,23.1,,-0.3,0.3,0.0,.014,,-3.9,1.4,-2.6,0.0
1 season,,NOP,NBA,,18,247,8.9,.496,.374,.143,3.8,13.7,8.8,15.1,2.3,0.3,21.2,20.4,,-0.3,0.2,-0.1,-0.028,,-3.9,-0.5,-4.5,-0.2",undefined
Frank Kaminsky,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2015-16,22,CHO,NBA,C,81,1708,12.5,.513,.385,.282,4.4,17.2,10.7,9.0,1.1,2.0,8.9,17.1,,1.2,2.1,3.3,.093,,-1.0,0.2,-0.8,0.5
2016-17,23,CHO,NBA,C,75,1954,13.0,.502,.441,.195,3.2,15.8,9.5,13.5,1.2,1.5,8.0,21.8,,0.4,1.9,2.3,.056,,-0.5,-0.6,-1.2,0.4
2017-18,24,CHO,NBA,PF,79,1835,14.4,.545,.383,.271,2.7,14.5,8.5,11.0,1.0,0.9,7.6,20.5,,2.3,1.3,3.6,.094,,0.6,-0.8,-0.2,0.8
2018-19,25,CHO,NBA,C,47,755,16.8,.587,.466,.359,5.5,18.1,11.7,12.9,0.8,1.4,10.6,22.1,,1.3,0.5,1.8,.114,,1.4,-1.1,0.3,0.4
2019-20,26,PHO,NBA,C,39,777,14.2,.545,.404,.293,4.9,20.4,12.6,14.3,0.9,1.1,9.6,21.0,,0.7,0.7,1.4,.087,,-0.1,-0.4,-0.5,0.3
Career,,,NBA,,321,7029,13.8,.531,.413,.262,3.8,16.6,10.1,11.7,1.0,1.4,8.6,20.3,,6.0,6.4,12.4,.085,,-0.1,-0.5,-0.6,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,CHO,NBA,,282,6252,13.7,.529,.414,.258,3.6,16.1,9.8,11.4,1.0,1.5,8.5,20.2,,5.2,5.8,11.0,.084,,-0.1,-0.5,-0.6,2.2
1 season,,PHO,NBA,,39,777,14.2,.545,.404,.293,4.9,20.4,12.6,14.3,0.9,1.1,9.6,21.0,,0.7,0.7,1.4,.087,,-0.1,-0.4,-0.5,0.3",undefined
Justise Winslow,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2015-16,19,MIA,NBA,SF,78,2232,8.4,.489,.251,.253,4.2,15.8,10.2,7.4,1.6,0.9,15.6,12.5,,-0.2,2.7,2.5,.054,,-3.3,0.7,-2.6,-0.3
2016-17,20,MIA,NBA,SF,18,625,8.2,.399,.156,.209,4.0,12.7,8.3,15.5,2.1,0.8,11.8,19.8,,-0.9,0.8,-0.1,-0.009,,-4.6,0.8,-3.8,-0.3
2017-18,21,MIA,NBA,PF,68,1680,11.5,.496,.264,.213,4.3,20.5,12.4,13.0,1.6,1.7,12.6,16.3,,0.2,2.4,2.6,.075,,-2.2,1.1,-1.1,0.4
2018-19,22,MIA,NBA,SF,66,1959,12.8,.513,.342,.183,3.4,15.9,9.6,21.9,1.8,0.9,14.9,20.8,,0.2,2.6,2.8,.067,,-1.3,0.7,-0.6,0.7
2019-20,23,MIA,NBA,SG,11,352,8.5,.440,.209,.209,5.3,17.5,11.6,18.7,1.0,1.4,14.6,20.6,,-0.4,0.4,0.0,-0.004,,-3.5,0.0,-3.5,-0.1
Career,,,NBA,,241,6848,10.4,.486,.274,.210,4.1,16.8,10.5,14.2,1.7,1.1,14.2,16.9,,-1.0,8.8,7.7,.054,,-2.6,0.8,-1.8,0.3",undefined
