Text1,Text,Root
Malik Monk,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2017-18,19,CHO,NBA,SG,63,854,10.3,.477,.572,.089,1.0,7.5,4.2,16.9,1.1,0.9,10.0,24.9,,-0.5,0.5,0.0,.000,,-1.3,-2.0,-3.4,-0.3
2018-19,20,CHO,NBA,SG,73,1258,11.8,.518,.563,.174,1.3,10.6,5.9,14.3,1.4,1.3,12.0,24.6,,-0.4,0.7,0.3,.012,,-1.3,-1.7,-3.0,-0.3
2019-20,21,CHO,NBA,SG,55,1169,12.6,.530,.418,.205,2.4,12.6,7.3,16.6,1.1,1.3,12.6,22.9,,0.1,0.6,0.7,.028,,-1.1,-1.3,-2.3,-0.1
Career,,,NBA,,191,3281,11.7,.510,.518,.160,1.6,10.5,6.0,15.8,1.2,1.2,11.7,24.1,,-0.9,1.8,1.0,.015,,-1.2,-1.6,-2.9,-0.7",undefined
Luke Kennard,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2017-18,21,DET,NBA,SG,73,1463,12.1,.560,.419,.163,1.6,11.9,6.6,12.7,1.5,0.8,12.2,17.2,,1.1,1.4,2.6,.085,,-0.9,0.1,-0.8,0.5
2018-19,22,DET,NBA,SG,63,1437,11.9,.560,.517,.117,0.9,13.5,7.0,12.3,0.9,0.6,9.4,18.1,,1.3,1.3,2.5,.085,,-0.4,-0.6,-1.1,0.3
2019-20,23,DET,NBA,SG,28,922,14.4,.589,.535,.219,1.1,11.1,6.0,19.2,0.6,0.5,10.3,19.8,,1.6,0.3,1.9,.100,,1.1,-1.4,-0.3,0.4
Career,,,NBA,,164,3822,12.6,.568,.488,.160,1.2,12.3,6.6,14.1,1.1,0.7,10.6,18.2,,4.0,3.0,7.0,.088,,-0.2,-0.5,-0.8,1.2",undefined
Donovan Mitchell,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2017-18,21,UTA,NBA,SG,79,2638,16.7,.541,.404,.218,2.3,10.4,6.4,19.4,2.2,0.9,12.6,29.1,,1.4,3.8,5.2,.095,,0.9,0.3,1.2,2.2
2018-19,22,UTA,NBA,SG,77,2598,17.2,.537,.339,.259,2.5,10.5,6.6,21.2,2.0,0.9,11.3,31.6,,1.3,3.7,5.0,.092,,1.2,0.1,1.3,2.2
2019-20,23,UTA,NBA,SG,69,2364,18.8,.558,.352,.240,2.6,11.3,7.1,21.6,1.4,0.5,11.0,30.8,,3.2,2.2,5.4,.110,,2.4,-0.6,1.9,2.3
Career,,,NBA,,225,7600,17.5,.545,.364,.240,2.4,10.7,6.7,20.7,1.9,0.8,11.6,30.5,,5.9,9.8,15.7,.099,,1.5,-0.1,1.5,6.7",undefined
Bam Adebayo,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2017-18,20,MIA,NBA,C,69,1368,15.7,.570,.021,.526,9.7,21.6,15.6,11.0,1.2,2.5,13.6,15.9,,2.3,1.9,4.2,.148,,-1.1,0.7,-0.4,0.6
2018-19,21,MIA,NBA,C,82,1913,17.9,.623,.031,.465,9.2,24.0,16.6,14.2,1.8,3.0,17.1,15.8,,3.4,3.4,6.8,.171,,-0.4,2.2,1.8,1.8
2019-20,22,MIA,NBA,PF,72,2417,20.3,.598,.018,.484,8.5,24.9,17.0,24.2,1.7,3.8,17.6,21.2,,4.6,3.9,8.5,.168,,1.4,2.0,3.4,3.3
Career,,,NBA,,223,5698,18.4,.599,.022,.487,9.0,23.8,16.5,17.7,1.6,3.3,16.6,18.1,,10.3,9.2,19.5,.164,,0.2,1.8,2.0,5.7",undefined
Justin Jackson,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2017-18,22,SAC,NBA,SF,68,1506,9.2,.521,.442,.086,2.0,12.6,7.1,7.2,0.9,0.8,8.4,14.2,,0.4,0.5,1.0,.031,,-2.4,-1.1,-3.5,-0.6
2018-19,23,TOT,NBA,SF,81,1614,11.3,.561,.505,.163,2.8,11.0,6.9,8.1,0.9,0.7,5.3,14.3,,2.0,0.9,2.9,.086,,-0.8,-0.8,-1.6,0.2
2018-19,23,SAC,NBA,SF,52,1083,10.1,.546,.539,.169,2.3,11.8,6.9,8.0,1.0,1.0,6.5,12.9,,1.0,0.6,1.6,.072,,-1.3,-0.5,-1.9,0.0
2018-19,23,DAL,NBA,SF,29,531,13.9,.584,.453,.153,3.9,9.4,6.7,8.4,0.8,0.2,3.3,17.0,,1.0,0.3,1.3,.114,,0.4,-1.4,-1.0,0.1
2019-20,24,DAL,NBA,PF,65,1045,9.5,.496,.478,.147,2.7,12.6,7.7,6.8,0.7,0.8,3.7,15.4,,0.6,0.6,1.2,.054,,-2.1,-1.3,-3.4,-0.4
Career,,,NBA,,214,4165,10.1,.530,.476,.133,2.5,12.0,7.1,7.5,0.9,0.8,5.9,14.5,,3.0,2.0,5.0,.058,,-1.7,-1.0,-2.7,-0.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,SAC,NBA,,120,2589,9.6,.531,.482,.120,2.1,12.3,7.0,7.6,1.0,0.9,7.6,13.7,,1.4,1.2,2.6,.048,,-2.0,-0.9,-2.8,-0.5
2 seasons,,DAL,NBA,,94,1576,11.0,.528,.469,.149,3.1,11.5,7.4,7.3,0.7,0.6,3.6,15.9,,1.6,0.9,2.4,.074,,-1.2,-1.4,-2.6,-0.2",undefined
Justin Patton,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2017-18,20,MIN,NBA,C,1,4,19.8,.500,.000,.000,0.0,0.0,0.0,0.0,12.5,0.0,0.0,22.1,,0.0,0.0,0.0,.151,,-2.2,5.4,3.2,0.0
2018-19,21,PHI,NBA,C,3,21,10.5,.317,.286,.286,10.4,19.6,15.1,18.7,4.5,0.0,0.0,15.7,,0.0,0.0,0.0,.079,,-5.2,3.2,-2.0,0.0
2019-20,22,OKC,NBA,C,5,24,4.7,.450,.400,.000,4.7,17.9,11.5,12.6,0.0,0.0,16.7,22.0,,-0.1,0.0,0.0,-0.063,,-6.8,-3.3,-10.1,0.0
Career,,,NBA,,9,49,8.4,.402,.316,.105,6.8,17.2,12.1,14.2,2.9,0.0,9.1,19.3,,-0.1,0.1,0.0,.015,,-5.7,0.2,-5.5,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,OKC,NBA,,5,24,4.7,.450,.400,.000,4.7,17.9,11.5,12.6,0.0,0.0,16.7,22.0,,-0.1,0.0,0.0,-0.063,,-6.8,-3.3,-10.1,0.0
1 season,,PHI,NBA,,3,21,10.5,.317,.286,.286,10.4,19.6,15.1,18.7,4.5,0.0,0.0,15.7,,0.0,0.0,0.0,.079,,-5.2,3.2,-2.0,0.0
1 season,,MIN,NBA,,1,4,19.8,.500,.000,.000,0.0,0.0,0.0,0.0,12.5,0.0,0.0,22.1,,0.0,0.0,0.0,.151,,-2.2,5.4,3.2,0.0",undefined
D.J. Wilson,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2017-18,21,MIL,NBA,PF,22,71,10.3,.622,.313,.125,3.3,13.2,8.3,6.1,2.1,1.2,19.2,13.3,,0.0,0.1,0.1,.054,,-2.0,0.0,-2.0,0.0
2018-19,22,MIL,NBA,PF,48,882,10.3,.515,.506,.187,5.5,19.2,12.8,7.6,0.9,1.9,10.5,14.4,,0.3,1.4,1.7,.093,,-2.4,0.2,-2.2,0.0
2019-20,23,MIL,NBA,PF,37,363,8.2,.475,.553,.136,3.5,20.5,12.5,9.1,0.4,1.2,12.0,18.1,,-0.3,0.6,0.3,.046,,-4.1,0.1,-4.0,-0.2
Career,,,NBA,,107,1316,9.7,.506,.514,.168,4.8,19.3,12.5,7.9,0.9,1.7,11.4,15.4,,0.1,2.1,2.1,.078,,-2.8,0.2,-2.7,-0.2",undefined
T.J. Leaf,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2017-18,20,IND,NBA,PF,53,459,10.7,.545,.309,.118,7.2,13.0,10.1,2.8,0.5,0.8,6.5,14.9,,0.5,0.3,0.8,.082,,-1.4,-1.7,-3.1,-0.1
2018-19,21,IND,NBA,PF,58,522,16.9,.572,.169,.169,9.3,17.1,13.3,6.9,0.8,3.2,5.8,17.5,,0.9,0.7,1.6,.148,,0.3,-0.6,-0.3,0.2
2019-20,22,IND,NBA,PF,28,222,12.9,.451,.209,.186,11.5,23.5,17.5,5.7,2.2,1.6,7.9,20.0,,-0.1,0.4,0.3,.061,,-2.5,0.1,-2.4,0.0
Career,,,NBA,,139,1203,13.8,.537,.225,.156,8.9,16.7,12.8,5.1,1.0,2.0,6.5,16.9,,1.3,1.4,2.7,.107,,-0.9,-0.9,-1.8,0.1",undefined
John Collins,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2017-18,20,ATL,NBA,PF,74,1785,18.3,.620,.086,.341,11.0,22.8,16.9,8.9,1.3,3.8,14.3,17.9,,3.4,2.0,5.4,.145,,-0.4,0.2,-0.2,0.8
2018-19,21,ATL,NBA,PF,61,1829,21.8,.627,.190,.320,12.3,22.1,17.1,11.0,0.6,1.8,11.2,23.7,,5.0,1.0,6.0,.158,,2.8,-1.9,0.9,1.3
2019-20,22,ATL,NBA,PF,41,1363,23.5,.659,.243,.248,9.0,24.0,16.4,7.6,1.1,4.1,10.1,22.7,,3.8,1.2,4.9,.174,,3.7,-0.6,3.1,1.7
Career,,,NBA,,176,4977,21.0,.634,.178,.304,11.0,22.9,16.8,9.3,1.0,3.2,11.8,21.4,,12.2,4.2,16.4,.158,,1.9,-0.8,1.1,3.9",undefined
Harry Giles,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2018-19,20,SAC,NBA,PF,58,820,14.4,.526,.017,.261,8.1,20.1,14.0,15.2,1.8,2.3,15.8,23.2,,0.0,1.0,1.0,.056,,-3.4,0.4,-3.0,-0.2
2019-20,21,SAC,NBA,C,46,667,16.4,.580,.008,.195,7.1,25.1,15.9,14.2,1.6,2.6,13.9,20.6,,0.8,0.8,1.6,.112,,-2.2,0.9,-1.3,0.1
Career,,,NBA,,104,1487,15.3,.548,.013,.234,7.6,22.3,14.8,14.7,1.7,2.4,15.0,22.0,,0.8,1.8,2.5,.081,,-2.9,0.6,-2.2,-0.1",undefined
